rep,dist_m,frac,eff_dose,auc,tss,range_area_pct_change_05,range_area_pct_change_maxsss,suitability_mad,schoener_d,entity,algorithm
0,0,0,0.0,0.853347857582219,0.4947127894808165,,,,,Astacus astacus,random_forest
0,100,10,1.6019417475728157,0.8557460869507324,0.5211588408144316,-5.629539951573849,-7.2758037225042305,0.0175545941491553,0.9534679674769332,Astacus astacus,random_forest
0,100,20,2.66990291262136,0.8475062381322581,0.4875867598772939,-13.01452784503632,-15.51094890510949,0.0208599093531108,0.9472828794333816,Astacus astacus,random_forest
0,100,50,6.462585034013606,0.8391184316839395,0.4792640555836339,-30.145278450363197,-39.36651583710408,0.0369906606235407,0.9193537205580652,Astacus astacus,random_forest
0,250,10,1.553398058252427,0.860513879794717,0.5194896247911703,-7.324455205811138,-10.398613518197571,0.0178715835736849,0.9529496476252808,Astacus astacus,random_forest
0,250,20,3.058252427184466,0.8461774218494686,0.4874235342229702,-14.164648910411625,-17.421602787456447,0.0209600329625051,0.9476056036966718,Astacus astacus,random_forest
0,250,50,8.60058309037901,0.8387541904645954,0.4820232746723596,-31.840193704600484,-33.33333333333333,0.0374227441285537,0.9182767805002694,Astacus astacus,random_forest
0,500,10,2.524271844660194,0.8594308197891285,0.5174520231644076,-6.840193704600485,-10.104529616724738,0.0188678752918555,0.9501036055915308,Astacus astacus,random_forest
0,500,20,4.174757281553398,0.8453409753217402,0.4765621950502369,-14.346246973365616,-17.408123791102515,0.0214221947534679,0.9466557267003446,Astacus astacus,random_forest
0,500,50,11.9533527696793,0.8397392506786616,0.4749926002845431,-30.69007263922518,-30.05181347150259,0.0390155198461749,0.9124836667032236,Astacus astacus,random_forest
1,0,0,0.0,0.8496802875906718,0.4776650426936922,,,,,Astacus astacus,random_forest
1,100,10,1.116504854368932,0.8498152495144884,0.4897465836157305,-3.1578947368421053,-4.485049833887043,0.0207147369866776,0.9437601187260408,Astacus astacus,random_forest
