axis,level,algorithm,track,metric,delta,ci_lo,ci_hi,n,entities,tier
lowacc,3,random_forest,upstream_only,env_dispersion_change,,,,0,8,full_panel
lowacc,3,xgboost,combined,auc,-0.008511391287991978,-0.013555639531525412,-0.004131809205453599,240,8,full_panel
lowacc,3,xgboost,combined,tss,-0.015391320484404386,-0.02076075232719686,-0.010058174222768045,240,8,full_panel
lowacc,3,xgboost,combined,brier,0.004624362829138449,0.0020104639288951874,0.007735433824067631,240,8,full_panel
lowacc,3,xgboost,combined,sensitivity,-0.004926712670240538,-0.009882278680623875,-0.00014820006683621592,240,8,full_panel
lowacc,3,xgboost,combined,specificity,-0.010464607814163814,-0.017673280370115913,-0.00416628143387128,240,8,full_panel
lowacc,3,xgboost,combined,omission_rate,0.004926712670240549,2.2184413846120072e-05,0.009905888506673498,240,8,full_panel
lowacc,3,xgboost,combined,importance_spearman,,,,0,8,full_panel
lowacc,3,xgboost,combined,env_centroid_disp,,,,0,8,full_panel
lowacc,3,xgboost,combined,env_dispersion_change,,,,0,8,full_panel
lowacc,3,xgboost,local_only,auc,-0.008524124238491169,-0.013908714529229323,-0.003902211597360899,240,8,full_panel
lowacc,3,xgboost,local_only,tss,-0.015800641526021543,-0.022880234217084894,-0.009635276574185616,240,8,full_panel
lowacc,3,xgboost,local_only,brier,0.004533856687723445,0.0017442265737977027,0.0078979651411786,240,8,full_panel
lowacc,3,xgboost,local_only,sensitivity,-0.00668943409202454,-0.011494696332233205,-0.0017885737456310555,240,8,full_panel
lowacc,3,xgboost,local_only,specificity,-0.009111207433997027,-0.016121339098826227,-0.002359567527581293,240,8,full_panel
lowacc,3,xgboost,local_only,omission_rate,0.006689434092024537,0.0020282073512523056,0.01147833977040009,240,8,full_panel
lowacc,3,xgboost,local_only,importance_spearman,,,,0,8,full_panel
lowacc,3,xgboost,local_only,env_centroid_disp,,,,0,8,full_panel
lowacc,3,xgboost,local_only,env_dispersion_change,,,,0,8,full_panel
lowacc,3,xgboost,upstream_only,auc,-0.002921310577695857,-0.006080526235126817,7.104024594057368e-05,240,8,full_panel
lowacc,3,xgboost,upstream_only,tss,-0.008319430148343028,-0.015498897890215017,-0.001943795640288324,240,8,full_panel
lowacc,3,xgboost,upstream_only,brier,0.0001828062863868716,-0.0014014712110246392,0.0021386732025667292,240,8,full_panel
lowacc,3,xgboost,upstream_only,sensitivity,-0.004064994034842891,-0.009694693585509723,0.0016202113989965572,240,8,full_panel
lowacc,3,xgboost,upstream_only,specificity,-0.004254436113500107,-0.014613694887032699,0.003751413642881975,240,8,full_panel
lowacc,3,xgboost,upstream_only,omission_rate,0.004064994034842903,-0.0016658120002416169,0.009361111297338865,240,8,full_panel
lowacc,3,xgboost,upstream_only,importance_spearman,,,,0,8,full_panel
lowacc,3,xgboost,upstream_only,env_centroid_disp,,,,0,8,full_panel
lowacc,3,xgboost,upstream_only,env_dispersion_change,,,,0,8,full_panel
lowacc,10,maxent,combined,auc,-0.029356620548269752,-0.0488061044869439,-0.012995692453298867,80,8,full_panel
lowacc,10,maxent,combined,tss,-0.05971709822845253,-0.08953433969804747,-0.03166917943793267,80,8,full_panel
lowacc,10,maxent,combined,brier,0.030324614480410413,0.010293876887445211,0.058460454816669956,80,8,full_panel
lowacc,10,maxent,combined,sensitivity,-0.023745360239098116,-0.036253650687700194,-0.011213442582480792,80,8,full_panel
lowacc,10,maxent,combined,specificity,-0.03597173798935441,-0.06566003451494835,-0.01324904809650049,80,8,full_panel
lowacc,10,maxent,combined,omission_rate,0.023745360239098106,0.010424432645693666,0.036940549248403835,80,8,full_panel
lowacc,10,maxent,combined,importance_spearman,,,,0,8,full_panel
lowacc,10,maxent,combined,env_centroid_disp,,,,0,8,full_panel
lowacc,10,maxent,combined,env_dispersion_change,,,,0,8,full_panel
lowacc,10,maxent,local_only,auc,-0.02634667501874745,-0.047484320210392776,-0.009326760993794614,70,7,full_panel
lowacc,10,maxent,local_only,tss,-0.05335168321923792,-0.0873007209781449,-0.024449216175098397,70,7,full_panel
lowacc,10,maxent,local_only,brier,0.023427889048223193,0.004164778706283204,0.05551156761859726,70,7,full_panel
lowacc,10,maxent,local_only,sensitivity,-0.02629032198095935,-0.046793224481831756,-0.00805719545216503,70,7,full_panel
lowacc,10,maxent,local_only,specificity,-0.027061361238278587,-0.060180782039936605,-0.005006974311849183,70,7,full_panel
lowacc,10,maxent,local_only,omission_rate,0.02629032198095933,0.0081683750396669,0.047986651725189504,70,7,full_panel
lowacc,10,maxent,local_only,importance_spearman,,,,0,7,full_panel
lowacc,10,maxent,local_only,env_centroid_disp,,,,0,7,full_panel
lowacc,10,maxent,local_only,env_dispersion_change,,,,0,7,full_panel
lowacc,10,maxent,upstream_only,auc,-0.009562673925874914,-0.02199556100957378,0.0018414766445864754,80,8,full_panel
lowacc,10,maxent,upstream_only,tss,-0.01390985748783333,-0.03147447969524853,0.0015496288700256205,80,8,full_panel
lowacc,10,maxent,upstream_only,brier,0.004653645375791481,0.0009073304089993456,0.00892135252053773,80,8,full_panel
