rep,level,regime,auc,tss
0,0,floating,0.8521117657708007,0.5156241707355147
0,0,fixed,0.8521117657708007,0.5156241707355147
0,3,floating,0.8252793330460886,0.40041355094393527
0,3,fixed,0.8350891062830448,0.4918678404408648
0,10,floating,0.836062003860168,0.4464651746113647
0,10,fixed,0.8067583279099546,0.45175715441399245
0,20,floating,0.7140373422597739,0.17505722855744837
0,20,fixed,0.780638198337974,0.3854487220453943
1,0,floating,0.8506047092376624,0.5055342054945889
1,0,fixed,0.8506047092376624,0.5055342054945889
1,3,floating,0.8504637119585686,0.4575637258446267
1,3,fixed,0.8342548592555243,0.46892859430955375
1,10,floating,0.8414757535824734,0.4963072047110339
1,10,fixed,0.8193815839264665,0.46015138107513265
1,20,floating,0.7308077406650799,0.2901767602524945
1,20,fixed,0.7806620772698318,0.3930212163448302
2,0,floating,0.8423453266216792,0.47808222662592037
2,0,fixed,0.8423453266216792,0.47808222662592037
2,3,floating,0.8348655748533444,0.4597657875592214
2,3,fixed,0.8378171921056634,0.48588121678778384
2,10,floating,0.8339997435496583,0.45185524828333923
2,10,fixed,0.8233578709014825,0.46435883353402224
2,20,floating,0.7563841926695446,0.277875356969688
2,20,fixed,0.7684076435834047,0.3629117041746942
3,0,floating,0.8426841163384216,0.4846781163194448
3,0,fixed,0.8426841163384216,0.4846781163194448
3,3,floating,0.8640461459838485,0.5004860588760665
3,3,fixed,0.8408160444437535,0.5083329194221783
3,10,floating,0.8394488893946879,0.5399035406555689
3,10,fixed,0.8117017033029044,0.43779819916486656
3,20,floating,0.7882328613958055,0.36808545809495014
3,20,fixed,0.7910398826128069,0.4111228062119373
4,0,floating,0.8440993373967007,0.48834895068725503
4,0,fixed,0.8440993373967007,0.48834895068725503
4,3,floating,0.8621678545191805,0.5085296065456996
4,3,fixed,0.8434463207990397,0.47880446571698626
4,10,floating,0.7476787399148916,0.31589375789524765
4,10,fixed,0.808127535390223,0.44600230625578813
4,20,floating,0.7775709978398124,0.38234593699563846
4,20,fixed,0.7805122375568752,0.35549664764312394
5,0,floating,0.8452411734460771,0.4874992848850592
5,0,fixed,0.8452411734460771,0.4874992848850592
5,3,floating,0.8706543590941921,0.4769991557103099
5,3,fixed,0.8473522541368693,0.45229559624783294
5,10,floating,0.7436306229111015,0.33146963597934176
5,10,fixed,0.7978055648778832,0.4254326260280159
5,20,floating,0.7590666562321744,0.23942427923176898
5,20,fixed,0.7724762924446471,0.3617107410011254
6,0,floating,0.8419448762651591,0.47097030049668487
6,0,fixed,0.8419448762651591,0.47097030049668487
6,3,floating,0.8506018980841887,0.42365776373889885
6,3,fixed,0.8334124051475127,0.4840590118235368
6,10,floating,0.8201930620659554,0.40645213934634017
6,10,fixed,0.8145434106159586,0.4424198083858867
6,20,floating,0.8247222299587242,0.49057299891235695
6,20,fixed,0.785903671890136,0.41978040051234283
7,0,floating,0.8494116094169636,0.5201164097116454
7,0,fixed,0.8494116094169636,0.5201164097116454
7,3,floating,0.8497640349747455,0.49432805470522523
7,3,fixed,0.8248260335955981,0.44116145702851545
7,10,floating,0.8485068627057263,0.5367326101807672
7,10,fixed,0.8113081538310143,0.4485473526729156
7,20,floating,0.7958293189242154,0.31989774906440444
7,20,fixed,0.78054751545802,0.3615488542437942
8,0,floating,0.8582026764536368,0.5257639170461061
8,0,fixed,0.8582026764536368,0.5257639170461061
8,3,floating,0.8427283237452489,0.5245114264502163
8,3,fixed,0.8447043121801843,0.4845001488239009
8,10,floating,0.8074080253957796,0.38777949316400717
8,10,fixed,0.8075884422696149,0.43469957295416195
8,20,floating,0.7870432746651387,0.2962547841019087
8,20,fixed,0.7698948605519476,0.37096258571016183
9,0,floating,0.8496071450783409,0.48669698156518526
9,0,fixed,0.8496071450783409,0.48669698156518526
9,3,floating,0.8663340411116274,0.5722517619938157
9,3,fixed,0.833541035623545,0.45413171058803936
9,10,floating,0.8210579214959252,0.496343404337998
9,10,fixed,0.7967564206070192,0.40634702974114134
9,20,floating,0.7692610854110957,0.2944731759957491
9,20,fixed,0.7632704340871859,0.3550758997366426
10,0,floating,0.8470705711807053,0.4914145002311095
10,0,fixed,0.8470705711807053,0.4914145002311095
10,3,floating,0.8490024424057196,0.4786526542444582
10,3,fixed,0.8293601967846753,0.48166740918992446
10,10,floating,0.8181858304798606,0.43342140366712645
10,10,fixed,0.8023075241665609,0.414773672025066
10,20,floating,0.7668387341601248,0.262158681815549
10,20,fixed,0.783369468908665,0.4101457811487779
11,0,floating,0.8443803820930095,0.4845540828826653
11,0,fixed,0.8443803820930095,0.4845540828826653
11,3,floating,0.8433411949016387,0.42762379180818116
11,3,fixed,0.841364639528005,0.4776312500838885
11,10,floating,0.8462520394311486,0.4716469631402093
11,10,fixed,0.8264283707940226,0.47362155378560383
11,20,floating,0.7730933707795478,0.3179143080139589
11,20,fixed,0.7731996515242103,0.3843536840484233
