entity,algorithm,axis,level,rho_full,jac5,jac10
Astacus astacus,random_forest,lowacc,3,0.9788699129125233,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,lowacc,3,0.9787653105554016,1.0,0.8181818181818182
Astacus astacus,random_forest,lowacc,3,0.9730855704320192,0.6666666666666666,1.0
Astacus astacus,random_forest,lowacc,3,0.9787692884858455,0.6666666666666666,1.0
Astacus astacus,random_forest,lowacc,3,0.9770768544669948,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,lowacc,3,0.9810584622524303,0.6666666666666666,1.0
Astacus astacus,random_forest,lowacc,3,0.9799142838491962,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,lowacc,3,0.9737773401170688,0.6666666666666666,1.0
Astacus astacus,random_forest,lowacc,3,0.9812235707835579,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,lowacc,3,0.9755190177899082,0.6666666666666666,1.0
Astacus astacus,random_forest,lowacc,3,0.9802360181240278,0.6666666666666666,1.0
Astacus astacus,random_forest,lowacc,3,0.9806155454531311,0.6666666666666666,1.0
Astacus astacus,random_forest,lowacc,3,0.9815294477068883,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,lowacc,3,0.9787275202161844,0.6666666666666666,1.0
Astacus astacus,random_forest,lowacc,3,0.9771628580468498,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,lowacc,3,0.977970262265836,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,lowacc,3,0.979071298645293,0.6666666666666666,1.0
Astacus astacus,random_forest,lowacc,3,0.9783759706132026,0.6666666666666666,1.0
Astacus astacus,random_forest,lowacc,3,0.9770736019010914,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,lowacc,3,0.9720410898056233,0.6666666666666666,1.0
Astacus astacus,random_forest,lowacc,3,0.977688783129015,0.6666666666666666,1.0
Astacus astacus,random_forest,lowacc,3,0.9792149641738163,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,lowacc,3,0.9793987959785962,0.6666666666666666,1.0
Astacus astacus,random_forest,lowacc,3,0.9753599147104571,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,lowacc,3,0.9695283738960806,0.6666666666666666,1.0
Astacus astacus,random_forest,lowacc,3,0.9767852956769393,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,lowacc,3,0.9791581428034261,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,lowacc,3,0.9821548681307816,0.6666666666666666,1.0
Astacus astacus,random_forest,lowacc,3,0.9742932356670647,1.0,1.0
Astacus astacus,random_forest,lowacc,3,0.9819316649362119,1.0,0.8181818181818182
Astacus astacus,random_forest,lowacc,10,0.9586637138092581,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,lowacc,10,0.964432329924643,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,lowacc,10,0.9628658834388648,1.0,0.8181818181818182
Astacus astacus,random_forest,lowacc,10,0.9635706107422284,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,lowacc,10,0.9634401896508135,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,lowacc,10,0.9599114119751251,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,lowacc,10,0.9609725249210413,0.6666666666666666,1.0
Astacus astacus,random_forest,lowacc,10,0.9577716496003974,0.6666666666666666,0.8181818181818182
Astacus astacus,random_forest,lowacc,10,0.9558903090552511,0.6666666666666666,1.0
