species,category_used,n_clean_dedup_200m,n_snap_pool,n_lowacc_pool,feas_snap_1,feas_snap_2,feas_snap_5,feas_lowacc_3,feas_lowacc_10,feas_lowacc_20,max_snap_contamination_pct,max_lowacc_contamination_pct,n_basins,strahler_min,strahler_max,gate_1_min_benchmark,gate_2_snap_pool,gate_3_lowacc_pool,gate_4_basin_spread,gate_5_strahler_spread,classification
Cambarus asperimanus,regional,164,16,0,1,1,1,0,0,0,5,0,5,1.0,7.0,0,1,0,1,1,INELIGIBLE
Cambarus bartonii,widespread,1341,45,1,1,1,0,0,0,0,2,0,28,1.0,8.0,1,0,0,1,1,INELIGIBLE
Cambarus bartonii bartonii,widespread,593,18,28,1,1,0,1,0,0,2,3,19,1.0,8.0,1,0,0,1,1,INELIGIBLE
Cambarus bartonii cavatus,widespread,486,18,0,1,1,0,0,0,0,2,0,2,1.0,10.0,0,0,0,0,1,INELIGIBLE
Cambarus batchi,regional,3,1,0,1,1,1,0,0,0,5,0,1,1.0,1.0,0,1,0,0,0,INELIGIBLE
Cambarus bouchardi,regional,7,0,0,0,0,0,0,0,0,0,0,1,1.0,5.0,0,0,0,0,1,INELIGIBLE
Cambarus brachydactylus,regional,7,2,0,1,1,1,0,0,0,5,0,1,1.0,4.0,0,1,0,0,1,INELIGIBLE
Cambarus brimleyorum,endemic,24,0,0,0,0,0,0,0,0,0,0,1,1.0,5.0,0,0,0,0,1,INELIGIBLE
Cambarus buntingi,endemic,10,0,0,0,0,0,0,0,0,0,0,1,1.0,6.0,0,0,0,0,1,INELIGIBLE
Cambarus callainus,regional,3,0,0,0,0,0,0,0,0,0,0,1,6.0,8.0,0,0,0,0,1,INELIGIBLE
Cambarus carinirostris,widespread,738,7,0,0,0,0,0,0,0,0,0,6,1.0,8.0,1,0,0,1,1,INELIGIBLE
Cambarus carolinus,regional,33,3,0,1,1,1,0,0,0,5,0,5,1.0,6.0,0,1,0,1,1,INELIGIBLE
Cambarus catagius,regional,10,6,0,1,1,1,0,0,0,5,0,3,1.0,3.0,0,1,0,1,1,INELIGIBLE
Cambarus causeyi,endemic,10,3,0,1,1,1,0,0,0,5,0,1,1.0,2.0,0,1,0,0,0,INELIGIBLE
Cambarus chasmodactylus,regional,141,2,0,1,0,0,0,0,0,1,0,4,1.0,7.0,0,0,0,1,1,INELIGIBLE
Cambarus chaugaensis,regional,39,4,0,1,1,1,0,0,0,5,0,3,1.0,6.0,0,1,0,1,1,INELIGIBLE
Cambarus clairitae,regional,6,0,0,0,0,0,0,0,0,0,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Cambarus clivosus,regional,6,1,0,1,1,1,0,0,0,5,0,2,1.0,3.0,0,1,0,0,1,INELIGIBLE
Cambarus conasaugaensis,regional,7,1,0,1,1,1,0,0,0,5,0,1,1.0,7.0,0,1,0,0,1,INELIGIBLE
Cambarus coosae,regional,91,9,0,1,1,1,0,0,0,5,0,3,1.0,8.0,0,1,0,1,1,INELIGIBLE
Cambarus coosawattae,regional,7,0,0,0,0,0,0,0,0,0,0,1,1.0,6.0,0,0,0,0,1,INELIGIBLE
Cambarus cracens,regional,7,0,0,0,0,0,0,0,0,0,0,1,1.0,5.0,0,0,0,0,1,INELIGIBLE
Cambarus crinipes,endemic,11,1,0,1,1,1,0,0,0,5,0,2,1.0,6.0,0,1,0,0,1,INELIGIBLE
Cambarus cryptodytes,regional,3,2,0,1,1,1,0,0,0,5,0,2,1.0,4.0,0,1,0,0,1,INELIGIBLE
Cambarus cumberlandensis,regional,93,1,0,1,0,0,0,0,0,1,0,3,1.0,8.0,0,0,0,1,1,INELIGIBLE
Cambarus cymatilis,regional,3,0,0,0,0,0,0,0,0,0,0,2,1.0,3.0,0,0,0,0,1,INELIGIBLE
Cambarus davidi,regional,43,0,0,0,0,0,0,0,0,0,0,6,1.0,7.0,0,0,0,1,1,INELIGIBLE
Cambarus deweesae,endemic,9,1,0,1,1,1,0,0,0,5,0,1,1.0,5.0,0,1,0,0,1,INELIGIBLE
Cambarus distans,regional,95,2,0,1,1,0,0,0,0,2,0,2,1.0,8.0,0,0,0,0,1,INELIGIBLE
Cambarus diupalma,regional,2,0,0,0,0,0,0,0,0,0,0,1,2.0,4.0,0,0,0,0,1,INELIGIBLE
Cambarus doughertyensis,regional,5,0,0,0,0,0,0,0,0,0,0,2,1.0,5.0,0,0,0,0,1,INELIGIBLE
Cambarus dubius,widespread,258,13,0,1,1,1,0,0,0,5,0,4,1.0,7.0,0,1,0,1,1,INELIGIBLE
Cambarus eeseeohensis,regional,42,0,0,0,0,0,0,0,0,0,0,3,1.0,5.0,0,0,0,1,1,INELIGIBLE
Cambarus elkensis,endemic,51,0,0,0,0,0,0,0,0,0,0,2,1.0,6.0,0,0,0,0,1,INELIGIBLE
Cambarus englishi,regional,21,0,0,0,0,0,0,0,0,0,0,2,1.0,5.0,0,0,0,0,1,INELIGIBLE
Cambarus extraneus,endemic,12,2,0,1,1,1,0,0,0,5,0,2,1.0,8.0,0,1,0,0,1,INELIGIBLE
Cambarus fasciatus,endemic,20,0,0,0,0,0,0,0,0,0,0,1,1.0,6.0,0,0,0,0,1,INELIGIBLE
Cambarus friaufi,endemic,15,0,0,0,0,0,0,0,0,0,0,1,1.0,6.0,0,0,0,0,1,INELIGIBLE
Cambarus gentryi,regional,4,2,0,1,1,1,0,0,0,5,0,1,1.0,4.0,0,1,0,0,1,INELIGIBLE
Cambarus georgiae,endemic,34,1,0,1,1,0,0,0,0,2,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Cambarus girardianus,regional,134,2,0,1,0,0,0,0,0,1,0,2,1.0,7.0,0,0,0,0,1,INELIGIBLE
Cambarus graysoni,regional,110,4,0,1,1,0,0,0,0,2,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Cambarus guenteri,endemic,14,0,0,0,0,0,0,0,0,0,0,1,1.0,6.0,0,0,0,0,1,INELIGIBLE
Cambarus halli,widespread,94,2,0,1,1,0,0,0,0,2,0,4,1.0,6.0,0,0,0,1,1,INELIGIBLE
Cambarus hamulatus,regional,14,2,0,1,1,1,0,0,0,5,0,3,1.0,7.0,0,1,0,1,1,INELIGIBLE
Cambarus harti,regional,5,0,0,0,0,0,0,0,0,0,0,2,1.0,4.0,0,0,0,0,1,INELIGIBLE
Cambarus hatfieldi,endemic,70,0,0,0,0,0,0,0,0,0,0,1,1.0,6.0,0,0,0,0,1,INELIGIBLE
Cambarus hazardi,endemic,26,0,0,0,0,0,0,0,0,0,0,1,1.0,6.0,0,0,0,0,1,INELIGIBLE
Cambarus hiwasseensis,regional,75,8,0,1,1,1,0,0,0,5,0,4,1.0,7.0,0,1,0,1,1,INELIGIBLE
Cambarus hobbsorum,widespread,301,2,0,0,0,0,0,0,0,0,0,7,1.0,8.0,0,0,0,1,1,INELIGIBLE
Cambarus howardi,widespread,90,4,0,1,1,0,0,0,0,2,0,8,1.0,7.0,0,0,0,1,1,INELIGIBLE
Cambarus hubbsi,regional,68,0,0,0,0,0,0,0,0,0,0,2,1.0,8.0,0,0,0,0,1,INELIGIBLE
Cambarus hubrichti,regional,4,0,0,0,0,0,0,0,0,0,0,1,1.0,6.0,0,0,0,0,1,INELIGIBLE
Cambarus hystricosus,regional,42,0,0,0,0,0,0,0,0,0,0,4,1.0,6.0,0,0,0,1,1,INELIGIBLE
Cambarus intermontanus,regional,7,0,0,0,0,0,0,0,0,0,0,1,1.0,3.0,0,0,0,0,1,INELIGIBLE
Cambarus jezerinaci,endemic,42,0,0,0,0,0,0,0,0,0,0,4,1.0,5.0,0,0,0,1,1,INELIGIBLE
Cambarus johni,regional,91,2,0,1,1,0,0,0,0,2,0,3,1.0,6.0,0,0,0,1,1,INELIGIBLE
Cambarus jonesi,regional,3,1,0,1,1,1,0,0,0,5,0,1,1.0,3.0,0,1,0,0,1,INELIGIBLE
Cambarus latimanus,widespread,1008,67,0,1,1,1,0,0,0,5,0,21,1.0,9.0,1,1,0,1,1,SNAPPING-ONLY
Cambarus lenati,regional,34,1,0,1,1,0,0,0,0,2,0,2,1.0,6.0,0,0,0,0,1,INELIGIBLE
Cambarus lentiginosus,regional,1,0,0,0,0,0,0,0,0,0,0,1,4.0,4.0,0,0,0,0,0,INELIGIBLE
Cambarus longirostris,widespread,181,6,0,1,1,0,0,0,0,2,0,3,1.0,8.0,0,0,0,1,1,INELIGIBLE
Cambarus longulus,regional,231,3,0,1,0,0,0,0,0,1,0,7,1.0,7.0,1,0,0,1,1,INELIGIBLE
Cambarus maculatus,regional,37,0,0,0,0,0,0,0,0,0,0,1,1.0,8.0,0,0,0,0,1,INELIGIBLE
Cambarus magerae,regional,5,0,0,0,0,0,0,0,0,0,0,2,1.0,4.0,0,0,0,0,1,INELIGIBLE
Cambarus manningi,endemic,11,0,0,0,0,0,0,0,0,0,0,1,2.0,8.0,0,0,0,0,1,INELIGIBLE
Cambarus monongalensis,regional,25,3,0,1,1,1,0,0,0,5,0,3,1.0,6.0,0,1,0,1,1,INELIGIBLE
Cambarus nerterius,regional,6,0,0,0,0,0,0,0,0,0,0,1,1.0,4.0,0,0,0,0,1,INELIGIBLE
Cambarus nodosus,endemic,17,3,0,1,1,1,0,0,0,5,0,4,1.0,7.0,0,1,0,1,1,INELIGIBLE
Cambarus obeyensis,regional,5,0,0,0,0,0,0,0,0,0,0,1,2.0,3.0,0,0,0,0,0,INELIGIBLE
Cambarus obstipus,regional,63,3,0,1,1,0,0,0,0,2,0,2,1.0,6.0,0,0,0,0,1,INELIGIBLE
Cambarus ortmanni,regional,51,7,0,1,1,1,0,0,0,5,0,2,1.0,6.0,0,1,0,0,1,INELIGIBLE
Cambarus parrishi,endemic,17,0,0,0,0,0,0,0,0,0,0,1,1.0,8.0,0,0,0,0,1,INELIGIBLE
Cambarus parvoculus,regional,84,3,0,1,1,0,0,0,0,2,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Cambarus pauleyi,regional,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,0,0,INELIGIBLE
Cambarus pecki,regional,5,0,0,0,0,0,0,0,0,0,0,4,1.0,5.0,0,0,0,1,1,INELIGIBLE
Cambarus polypilosus,regional,6,0,0,0,0,0,0,0,0,0,0,2,3.0,5.0,0,0,0,0,1,INELIGIBLE
Cambarus pristinus,endemic,19,0,0,0,0,0,0,0,0,0,0,3,1.0,9.0,0,0,0,1,1,INELIGIBLE
Cambarus pyronotus,regional,2,2,0,1,1,1,0,0,0,5,0,1,1.0,5.0,0,1,0,0,1,INELIGIBLE
Cambarus reburrus,regional,52,2,0,1,1,0,0,0,0,2,0,3,1.0,7.0,0,0,0,1,1,INELIGIBLE
Cambarus reduncus,widespread,162,23,0,1,1,1,0,0,0,5,0,7,1.0,9.0,0,1,0,1,1,INELIGIBLE
Cambarus reflexus,regional,36,6,0,1,1,1,0,0,0,5,0,7,1.0,7.0,0,1,0,1,1,INELIGIBLE
Cambarus robustus,widespread,1244,28,0,1,1,0,0,0,0,2,0,12,1.0,8.0,1,0,0,1,1,INELIGIBLE
Cambarus rusticiformis,regional,72,2,0,1,1,0,0,0,0,2,0,1,1.0,11.0,0,0,0,0,1,INELIGIBLE
Cambarus sciotensis,widespread,299,3,0,1,0,0,0,0,0,1,0,3,1.0,8.0,0,0,0,1,1,INELIGIBLE
Cambarus scotti,regional,48,2,0,1,1,0,0,0,0,2,0,1,1.0,6.0,0,0,0,0,1,INELIGIBLE
Cambarus setosus,regional,5,4,0,1,1,1,0,0,0,5,0,1,1.0,4.0,0,1,0,0,1,INELIGIBLE
Cambarus smilax,endemic,22,0,0,0,0,0,0,0,0,0,0,2,1.0,6.0,0,0,0,0,1,INELIGIBLE
Cambarus speciosus,endemic,11,1,0,1,1,1,0,0,0,5,0,1,1.0,6.0,0,1,0,0,1,INELIGIBLE
Cambarus speleocoopi,regional,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,0,0,INELIGIBLE
Cambarus sphenoides,regional,109,3,0,1,1,0,0,0,0,2,0,3,1.0,9.0,0,0,0,1,1,INELIGIBLE
Cambarus spicatus,regional,29,0,0,0,0,0,0,0,0,0,0,3,1.0,6.0,0,0,0,1,1,INELIGIBLE
Cambarus stockeri,endemic,11,1,0,1,1,1,0,0,0,5,0,2,1.0,5.0,0,1,0,0,1,INELIGIBLE
Cambarus striatus,regional,747,62,0,1,1,1,0,0,0,5,0,16,1.0,9.0,1,1,0,1,1,SNAPPING-ONLY
Cambarus strigosus,regional,13,1,0,1,1,1,0,0,0,5,0,2,1.0,7.0,0,1,0,0,1,INELIGIBLE
Cambarus taylori,endemic,15,0,0,0,0,0,0,0,0,0,0,1,1.0,5.0,0,0,0,0,1,INELIGIBLE
Cambarus tenebrosus,widespread,270,9,0,1,1,0,0,0,0,2,0,2,1.0,8.0,0,0,0,0,1,INELIGIBLE
Cambarus theepiensis,regional,244,4,0,1,0,0,0,0,0,1,0,2,1.0,8.0,1,0,0,0,1,INELIGIBLE
Cambarus truncatus,regional,1,2,0,1,1,1,0,0,0,5,0,1,3.0,3.0,0,1,0,0,0,INELIGIBLE
Cambarus tuckasegee,endemic,16,0,0,0,0,0,0,0,0,0,0,2,1.0,6.0,0,0,0,0,1,INELIGIBLE
Cambarus unestami,regional,30,2,0,1,1,1,0,0,0,5,0,2,1.0,4.0,0,1,0,0,1,INELIGIBLE
Cambarus veteranus,regional,5,0,0,0,0,0,0,0,0,0,0,1,1.0,5.0,0,0,0,0,1,INELIGIBLE
Cambarus williami,regional,3,0,0,0,0,0,0,0,0,0,0,1,2.0,4.0,0,0,0,0,1,INELIGIBLE
Cherax acherontis,regional,1,0,0,0,0,0,0,0,0,0,0,1,4.0,4.0,0,0,0,0,0,INELIGIBLE
Cherax boesemani,regional,2,0,0,0,0,0,0,0,0,0,0,1,1.0,4.0,0,0,0,0,1,INELIGIBLE
Cherax destructor,regional,4,0,0,0,0,0,0,0,0,0,0,4,1.0,9.0,0,0,0,1,1,INELIGIBLE
Cherax gherardii,regional,0,1,0,1,1,1,1,1,1,5,20,0,,,0,1,1,0,0,INELIGIBLE
Cherax holthuisi,regional,2,0,0,0,0,0,0,0,0,0,0,2,1.0,4.0,0,0,0,0,1,INELIGIBLE
Cherax pulcher,regional,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,0,0,INELIGIBLE
Cherax pulverulentus,regional,3,0,1,0,0,0,1,1,1,0,20,2,5.0,6.0,0,0,1,0,0,INELIGIBLE
Cherax quadricarinatus,regional,408,73,66,1,1,1,1,1,0,5,10,128,1.0,11.0,1,1,0,1,1,SNAPPING-ONLY
Cherax snowden,regional,5,0,0,0,0,0,0,0,0,0,0,3,1.0,6.0,0,0,0,1,1,INELIGIBLE
Cherax woworae,regional,1,0,1,0,0,0,1,1,1,0,20,1,4.0,4.0,0,0,1,0,0,INELIGIBLE
Creaserinus brevistylus,regional,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,0,0,INELIGIBLE
Creaserinus burrisi,endemic,12,2,0,1,1,1,0,0,0,5,0,3,1.0,5.0,0,1,0,1,1,INELIGIBLE
Creaserinus byersi,regional,21,3,0,1,1,1,0,0,0,5,0,7,1.0,7.0,0,1,0,1,1,INELIGIBLE
Creaserinus caesius,endemic,12,6,0,1,1,1,0,0,0,5,0,1,1.0,6.0,0,1,0,0,1,INELIGIBLE
Creaserinus clausus,regional,5,2,0,1,1,1,0,0,0,5,0,2,1.0,4.0,0,1,0,0,1,INELIGIBLE
Creaserinus danielae,regional,15,5,0,1,1,1,0,0,0,5,0,11,1.0,5.0,0,1,0,1,1,INELIGIBLE
Creaserinus fodiens,regional,622,113,1,1,1,1,0,0,0,5,0,36,1.0,10.0,1,1,0,1,1,SNAPPING-ONLY
Creaserinus gilpini,regional,3,0,0,0,0,0,0,0,0,0,0,1,1.0,2.0,0,0,0,0,0,INELIGIBLE
Creaserinus hedgpethi,regional,4,3,0,1,1,1,0,0,0,5,0,1,1.0,10.0,0,1,0,0,1,INELIGIBLE
Creaserinus hortoni,regional,8,1,0,1,1,1,0,0,0,5,0,1,1.0,6.0,0,1,0,0,1,INELIGIBLE
Creaserinus oryktes,regional,7,2,0,1,1,1,0,0,0,5,0,5,1.0,6.0,0,1,0,1,1,INELIGIBLE
Creaserinus trinensis,regional,1,0,0,0,0,0,0,0,0,0,0,1,4.0,4.0,0,0,0,0,0,INELIGIBLE
Distocambarus (Distocambarus) crockeri,endemic,21,9,0,1,1,1,0,0,0,5,0,3,1.0,7.0,0,1,0,1,1,INELIGIBLE
Distocambarus (Distocambarus) devexus,regional,5,0,0,0,0,0,0,0,0,0,0,1,1.0,8.0,0,0,0,0,1,INELIGIBLE
Distocambarus (Fitzcambarus) carlsoni,endemic,23,3,0,1,1,1,0,0,0,5,0,3,1.0,7.0,0,1,0,1,1,INELIGIBLE
Distocambarus (Fitzcambarus) hunteri,regional,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,0,0,INELIGIBLE
Distocambarus (Fitzcambarus) youngineri,regional,3,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,0,0,INELIGIBLE
Euastacus armatus,widespread,65,5,0,1,1,1,0,0,0,5,0,4,1.0,9.0,0,1,0,1,1,INELIGIBLE
Euastacus bispinosus,regional,15,1,0,1,1,1,0,0,0,5,0,8,1.0,8.0,0,1,0,1,1,INELIGIBLE
Euastacus gamilaroi,regional,1,0,0,0,0,0,0,0,0,0,0,1,4.0,4.0,0,0,0,0,0,INELIGIBLE
Euastacus vesper,regional,7,0,0,0,0,0,0,0,0,0,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Euastacus yarraensis,regional,3,0,0,0,0,0,0,0,0,0,0,2,4.0,6.0,0,0,0,0,1,INELIGIBLE
Fallicambarus devastator,regional,4,3,0,1,1,1,0,0,0,5,0,2,1.0,3.0,0,1,0,0,1,INELIGIBLE
Fallicambarus dissitus,regional,5,3,0,1,1,1,0,0,0,5,0,1,1.0,9.0,0,1,0,0,1,INELIGIBLE
Fallicambarus harpi,endemic,11,4,0,1,1,1,0,0,0,5,0,1,1.0,2.0,0,1,0,0,0,INELIGIBLE
Fallicambarus houstonensis,regional,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,0,0,INELIGIBLE
Fallicambarus jeanae,endemic,23,4,0,1,1,1,0,0,0,5,0,1,1.0,6.0,0,1,0,0,1,INELIGIBLE
Fallicambarus kountzeae,regional,4,4,0,1,1,1,0,0,0,5,0,2,1.0,4.0,0,1,0,0,1,INELIGIBLE
Fallicambarus macneesei,regional,2,2,0,1,1,1,0,0,0,5,0,1,2.0,4.0,0,1,0,0,1,INELIGIBLE
Fallicambarus petilicarpus,regional,5,3,0,1,1,1,0,0,0,5,0,1,1.0,4.0,0,1,0,0,1,INELIGIBLE
Fallicambarus schusteri,regional,4,1,0,1,1,1,0,0,0,5,0,1,1.0,3.0,0,1,0,0,1,INELIGIBLE
Fallicambarus strawni,regional,18,3,0,1,1,1,0,0,0,5,0,1,1.0,5.0,0,1,0,0,1,INELIGIBLE
Fallicambarus tenuis,regional,18,2,0,1,1,1,0,0,0,5,0,2,1.0,10.0,0,1,0,0,1,INELIGIBLE
Fallicambarus wallsi,regional,0,1,0,1,1,1,1,1,1,5,20,0,,,0,1,1,0,0,INELIGIBLE
Faxonella beyeri,regional,2,1,0,1,1,1,0,0,0,5,0,2,1.0,5.0,0,1,0,0,1,INELIGIBLE
Faxonella blairi,regional,7,1,0,1,1,1,0,0,0,5,0,1,1.0,4.0,0,1,0,0,1,INELIGIBLE
Faxonella clypeata,widespread,98,27,0,1,1,1,0,0,0,5,0,23,1.0,8.0,0,1,0,1,1,INELIGIBLE
Faxonella creaseri,regional,6,1,0,1,1,1,0,0,0,5,0,1,1.0,5.0,0,1,0,0,1,INELIGIBLE
Faxonius acares,regional,22,3,0,1,1,1,0,0,0,5,0,1,1.0,7.0,0,1,0,0,1,INELIGIBLE
Faxonius alabamensis,regional,62,2,0,1,1,0,0,0,0,2,0,3,1.0,7.0,0,0,0,1,1,INELIGIBLE
Faxonius barrenensis,endemic,17,0,0,0,0,0,0,0,0,0,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Faxonius bisectus,regional,8,0,0,0,0,0,0,0,0,0,0,1,1.0,5.0,0,0,0,0,1,INELIGIBLE
Faxonius burri,regional,9,0,0,0,0,0,0,0,0,0,0,1,1.0,4.0,0,0,0,0,1,INELIGIBLE
Faxonius carolinensis,widespread,94,0,0,0,0,0,0,0,0,0,0,5,1.0,8.0,0,0,0,1,1,INELIGIBLE
Faxonius castaneus,regional,0,2,0,1,1,1,1,1,1,5,20,0,,,0,1,1,0,0,INELIGIBLE
Faxonius causeyi,regional,9,2,0,1,1,1,0,0,0,5,0,1,1.0,9.0,0,1,0,0,1,INELIGIBLE
Faxonius chickasawae,regional,49,1,0,1,1,0,0,0,0,2,0,2,1.0,9.0,0,0,0,0,1,INELIGIBLE
Faxonius compressus,regional,146,2,0,1,0,0,0,0,0,1,0,2,1.0,8.0,0,0,0,0,1,INELIGIBLE
Faxonius cooperi,regional,5,0,0,0,0,0,0,0,0,0,0,2,1.0,5.0,0,0,0,0,1,INELIGIBLE
Faxonius cristavarius,widespread,726,5,0,0,0,0,0,0,0,0,0,6,1.0,9.0,1,0,0,1,1,INELIGIBLE
Faxonius cyanodigitus,regional,2,0,0,0,0,0,0,0,0,0,0,1,1.0,5.0,0,0,0,0,1,INELIGIBLE
Faxonius deanae,regional,17,1,0,1,1,1,0,0,0,5,0,2,1.0,9.0,0,1,0,0,1,INELIGIBLE
Faxonius difficilis,endemic,13,1,0,1,1,1,0,0,0,5,0,1,1.0,9.0,0,1,0,0,1,INELIGIBLE
Faxonius durelli,regional,91,0,0,0,0,0,0,0,0,0,0,2,1.0,7.0,0,0,0,0,1,INELIGIBLE
Faxonius erichsonianus,widespread,170,8,0,1,1,0,0,0,0,2,0,2,1.0,8.0,0,0,0,0,1,INELIGIBLE
Faxonius etnieri,regional,56,2,0,1,1,0,0,0,0,2,0,2,1.0,7.0,0,0,0,0,1,INELIGIBLE
Faxonius eupunctus,endemic,37,0,0,0,0,0,0,0,0,0,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Faxonius forceps,widespread,87,5,0,1,1,1,0,0,0,5,0,1,1.0,9.0,0,1,0,0,1,INELIGIBLE
Faxonius harrisonii,endemic,39,0,0,0,0,0,0,0,0,0,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Faxonius hartfieldi,regional,4,0,0,0,0,0,0,0,0,0,0,1,2.0,4.0,0,0,0,0,1,INELIGIBLE
Faxonius hathawayi,regional,4,1,0,1,1,1,0,0,0,5,0,1,1.0,4.0,0,1,0,0,1,INELIGIBLE
Faxonius hathawayi blacki,regional,1,1,0,1,1,1,0,0,0,5,0,1,1.0,1.0,0,1,0,0,0,INELIGIBLE
Faxonius hobbsi,regional,3,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,0,0,INELIGIBLE
Faxonius holti,regional,34,0,0,0,0,0,0,0,0,0,0,2,1.0,7.0,0,0,0,0,1,INELIGIBLE
Faxonius hylas,regional,64,0,0,0,0,0,0,0,0,0,0,1,1.0,8.0,0,0,0,0,1,INELIGIBLE
Faxonius illinoiensis,regional,101,4,0,1,1,0,0,0,0,2,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Faxonius immunis,widespread,1232,77,52,1,1,1,1,0,0,5,3,13,1.0,12.0,1,1,0,1,1,SNAPPING-ONLY
Faxonius indianensis,regional,56,1,0,1,0,0,0,0,0,1,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Faxonius jeffersoni,endemic,19,1,0,1,1,1,0,0,0,5,0,1,1.0,6.0,0,1,0,0,1,INELIGIBLE
Faxonius jonesi,endemic,28,2,0,1,1,1,0,0,0,5,0,3,1.0,6.0,0,1,0,1,1,INELIGIBLE
Faxonius juvenilis,regional,105,4,0,1,1,0,0,0,0,2,0,7,1.0,8.0,0,0,0,1,1,INELIGIBLE
Faxonius kentuckiensis,endemic,51,4,0,1,1,1,0,0,0,5,0,1,1.0,6.0,0,1,0,0,1,INELIGIBLE
Faxonius lancifer,widespread,56,6,0,1,1,1,0,0,0,5,0,8,1.0,8.0,0,1,0,1,1,INELIGIBLE
Faxonius leptogonopodus,regional,39,4,0,1,1,1,0,0,0,5,0,2,1.0,6.0,0,1,0,0,1,INELIGIBLE
Faxonius limosus,widespread,4174,416,2002,1,1,1,1,1,1,5,20,155,1.0,11.0,1,1,1,1,1,DUAL-AXIS
Faxonius longidigitus,regional,58,3,0,1,1,1,0,0,0,5,0,1,1.0,7.0,0,1,0,0,1,INELIGIBLE
Faxonius luteus,widespread,333,5,0,1,0,0,0,0,0,1,0,1,1.0,12.0,0,0,0,0,1,INELIGIBLE
Faxonius macrus,regional,37,0,0,0,0,0,0,0,0,0,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Faxonius maletae,regional,2,0,0,0,0,0,0,0,0,0,0,1,5.0,5.0,0,0,0,0,0,INELIGIBLE
Faxonius marchandi,endemic,11,1,0,1,1,1,0,0,0,5,0,1,1.0,6.0,0,1,0,0,1,INELIGIBLE
Faxonius margorectus,regional,8,0,0,0,0,0,0,0,0,0,0,1,1.0,5.0,0,0,0,0,1,INELIGIBLE
Faxonius medius,regional,38,0,0,0,0,0,0,0,0,0,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Faxonius meeki,regional,144,1,0,0,0,0,0,0,0,0,0,1,1.0,8.0,0,0,0,0,1,INELIGIBLE
Faxonius meeki brevis,regional,2,0,0,0,0,0,0,0,0,0,0,1,1.0,2.0,0,0,0,0,0,INELIGIBLE
Faxonius meeki meeki,regional,28,6,0,1,1,1,0,0,0,5,0,1,1.0,7.0,0,1,0,0,1,INELIGIBLE
Faxonius menae,regional,16,0,0,0,0,0,0,0,0,0,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Faxonius mirus,regional,43,4,0,1,1,1,0,0,0,5,0,1,1.0,6.0,0,1,0,0,1,INELIGIBLE
Faxonius mississippiensis,endemic,16,4,0,1,1,1,0,0,0,5,0,2,1.0,9.0,0,1,0,0,1,INELIGIBLE
Faxonius nais,widespread,101,6,0,1,1,1,0,0,0,5,0,2,1.0,10.0,0,1,0,0,1,INELIGIBLE
Faxonius nana,regional,59,1,0,1,0,0,0,0,0,1,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Faxonius neglectus,widespread,400,6,0,1,0,0,0,0,0,1,0,5,1.0,9.0,0,0,0,1,1,INELIGIBLE
Faxonius neglectus chaenodactylus,regional,5,0,0,0,0,0,0,0,0,0,0,1,1.0,6.0,0,0,0,0,1,INELIGIBLE
Faxonius neglectus neglectus,widespread,107,6,0,1,1,1,0,0,0,5,0,2,1.0,8.0,0,1,0,0,1,INELIGIBLE
Faxonius obscurus,widespread,1167,12,0,1,0,0,0,0,0,1,0,12,1.0,9.0,1,0,0,1,1,INELIGIBLE
Faxonius occidentalis,regional,1,0,0,0,0,0,0,0,0,0,0,1,6.0,6.0,0,0,0,0,0,INELIGIBLE
Faxonius ozarkae,widespread,260,9,0,1,1,0,0,0,0,2,0,3,1.0,9.0,0,0,0,1,1,INELIGIBLE
Faxonius pagei,endemic,12,0,0,0,0,0,0,0,0,0,0,1,1.0,5.0,0,0,0,0,1,INELIGIBLE
Faxonius palmeri,widespread,156,5,0,1,1,0,0,0,0,2,0,9,1.0,9.0,0,0,0,1,1,INELIGIBLE
Faxonius palmeri creolanus,regional,5,0,0,0,0,0,0,0,0,0,0,3,1.0,2.0,0,0,0,1,0,INELIGIBLE
