species,category_used,n_clean_dedup_200m,n_snap_pool,n_lowacc_pool,feas_snap_1,feas_snap_2,feas_snap_5,feas_lowacc_3,feas_lowacc_10,feas_lowacc_20,max_snap_contamination_pct,max_lowacc_contamination_pct,n_basins,strahler_min,strahler_max,gate_1_min_benchmark,gate_2_snap_pool,gate_3_lowacc_pool,gate_4_basin_spread,gate_5_strahler_spread,classification
Procambarus acherontis,regional,1,0,0,0,0,0,0,0,0,0,0,1,8.0,8.0,0,0,0,0,0,INELIGIBLE
Procambarus acutissimus,widespread,105,13,0,1,1,1,0,0,0,5,0,5,1.0,7.0,0,1,0,1,1,INELIGIBLE
Procambarus acutus,widespread,2357,173,3,1,1,1,0,0,0,5,0,123,1.0,10.0,1,1,0,1,1,SNAPPING-ONLY
Procambarus advena,regional,11,3,0,1,1,1,0,0,0,5,0,5,1.0,4.0,0,1,0,1,1,INELIGIBLE
Procambarus albaughi,regional,0,1,0,1,1,1,1,1,1,5,20,0,,,0,1,1,0,0,INELIGIBLE
Procambarus alleni,regional,37,6,0,1,1,1,0,0,0,5,0,20,1.0,7.0,0,1,0,1,1,INELIGIBLE
Procambarus ancylus,widespread,65,8,0,1,1,1,0,0,0,5,0,11,1.0,8.0,0,1,0,1,1,INELIGIBLE
Procambarus apalachicolae,regional,2,1,0,1,1,1,0,0,0,5,0,2,1.0,2.0,0,1,0,0,0,INELIGIBLE
Procambarus barbatus,regional,29,4,0,1,1,1,0,0,0,5,0,7,1.0,6.0,0,1,0,1,1,INELIGIBLE
Procambarus barbiger,regional,0,2,0,1,1,1,1,1,1,5,20,0,,,0,1,1,0,0,INELIGIBLE
Procambarus bivittatus,regional,15,1,0,1,1,1,0,0,0,5,0,4,1.0,8.0,0,1,0,1,1,INELIGIBLE
Procambarus blandingii,widespread,178,11,0,1,1,1,0,0,0,5,0,11,1.0,9.0,0,1,0,1,1,INELIGIBLE
Procambarus brazoriensis,regional,2,1,0,1,1,1,0,0,0,5,0,1,1.0,10.0,0,1,0,0,1,INELIGIBLE
Procambarus capillatus,regional,8,1,0,1,1,1,0,0,0,5,0,1,1.0,3.0,0,1,0,0,1,INELIGIBLE
Procambarus caritus,endemic,9,5,0,1,1,1,0,0,0,5,0,2,1.0,4.0,0,1,0,0,1,INELIGIBLE
Procambarus chacei,widespread,48,5,0,1,1,1,0,0,0,5,0,8,1.0,9.0,0,1,0,1,1,INELIGIBLE
Procambarus clarkii,widespread,9606,1896,11540,1,1,1,1,1,1,5,20,908,1.0,12.0,1,1,1,1,1,DUAL-AXIS
Procambarus clemmeri,regional,27,0,0,0,0,0,0,0,0,0,0,8,1.0,6.0,0,0,0,1,1,INELIGIBLE
Procambarus curdi,endemic,16,4,0,1,1,1,0,0,0,5,0,4,1.0,4.0,0,1,0,1,1,INELIGIBLE
Procambarus dupratzi,regional,24,1,0,1,1,0,0,0,0,2,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Procambarus echinatus,regional,24,2,0,1,1,1,0,0,0,5,0,5,1.0,6.0,0,1,0,1,1,INELIGIBLE
Procambarus econfinae,regional,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,0,0,INELIGIBLE
Procambarus elegans,endemic,13,0,0,0,0,0,0,0,0,0,0,1,1.0,7.0,0,0,0,0,1,INELIGIBLE
Procambarus enoplosternum,regional,60,8,0,1,1,1,0,0,0,5,0,9,1.0,9.0,0,1,0,1,1,INELIGIBLE
Procambarus epicyrtus,endemic,14,0,0,0,0,0,0,0,0,0,0,3,1.0,7.0,0,0,0,1,1,INELIGIBLE
Procambarus escambiensis,regional,6,2,0,1,1,1,0,0,0,5,0,2,1.0,6.0,0,1,0,0,1,INELIGIBLE
Procambarus evermanni,regional,19,3,0,1,1,1,0,0,0,5,0,11,1.0,6.0,0,1,0,1,1,INELIGIBLE
Procambarus fallax,widespread,71,10,0,1,1,1,0,0,0,5,0,16,1.0,7.0,0,1,0,1,1,INELIGIBLE
Procambarus fayettei,regional,1,0,0,0,0,0,0,0,0,0,0,1,4.0,4.0,0,0,0,0,0,INELIGIBLE
Procambarus fitzpatricki,regional,3,3,0,1,1,1,0,0,0,5,0,2,1.0,1.0,0,1,0,0,0,INELIGIBLE
Procambarus geminus,endemic,11,3,0,1,1,1,0,0,0,5,0,1,1.0,6.0,0,1,0,0,1,INELIGIBLE
Procambarus geodytes,regional,2,1,0,1,1,1,0,0,0,5,0,2,6.0,8.0,0,1,0,0,1,INELIGIBLE
Procambarus gibbus,regional,3,0,0,0,0,0,0,0,0,0,0,1,1.0,4.0,0,0,0,0,1,INELIGIBLE
Procambarus gracilis,widespread,244,35,0,1,1,1,0,0,0,5,0,3,1.0,7.0,0,1,0,1,1,INELIGIBLE
Procambarus hagenianus,regional,7,2,0,1,1,1,0,0,0,5,0,1,1.0,2.0,0,1,0,0,0,INELIGIBLE
Procambarus hagenianus hagenianus,regional,2,1,0,1,1,1,0,0,0,5,0,1,1.0,1.0,0,1,0,0,0,INELIGIBLE
Procambarus hagenianus vesticeps,regional,3,1,0,1,1,1,0,0,0,5,0,1,1.0,3.0,0,1,0,0,1,INELIGIBLE
Procambarus hayi,widespread,73,7,0,1,1,1,0,0,0,5,0,5,1.0,9.0,0,1,0,1,1,INELIGIBLE
Procambarus hinei,regional,14,5,0,1,1,1,0,0,0,5,0,6,1.0,8.0,0,1,0,1,1,INELIGIBLE
Procambarus hirsutus,regional,56,7,0,1,1,1,0,0,0,5,0,7,1.0,6.0,0,1,0,1,1,INELIGIBLE
