rep,dist_m,frac,eff_dose,auc,tss,range_area_pct_change_05,range_area_pct_change_maxsss,suitability_mad,schoener_d
0,0,0,0.0,0.8786750409059102,0.558628667721061,,,,
0,100,10,0.41666666666666663,0.8777478164537581,0.5688746108178185,-4.989154013015185,-5.383022774327122,0.010720910973084887,0.9508577556779365
0,100,20,0.731070496083551,0.866081590735527,0.5590646219193618,-7.592190889370933,-9.00900900900901,0.01309648033126294,0.9413560959968665
0,100,50,1.9832985386221296,0.8702960784544198,0.5596161281021972,-18.43817787418655,-24.735729386892178,0.02073229813664596,0.9097058819349964
0,250,10,1.1979166666666667,0.8817508704400518,0.5693836632939104,-3.398409255242227,-5.6367432150313155,0.01063664596273292,0.9515098314746581
0,250,20,1.8798955613577024,0.8614178279086415,0.554245647220337,-7.302964569775849,-8.766564729867483,0.01302929606625259,0.9416932975028901
0,250,50,4.592901878914405,0.8717607374725813,0.5680142800168019,-18.58279103398409,-25.213675213675213,0.020716666666666664,0.9115595145106866
0,500,10,1.6145833333333335,0.8773098386437267,0.5676782752558927,-4.483007953723789,-4.244306418219462,0.01062712215320911,0.950931697270046
0,500,20,4.177545691906005,0.8695841578626688,0.5569503887798368,-7.447577729573392,-8.154943934760448,0.013505486542443063,0.9396183414091052
0,500,50,8.298538622129437,0.8673127454983053,0.5741882682308379,-18.22125813449024,-24.536082474226802,0.0200491718426501,0.9151818050050247
1,0,0,0.0,0.8749814139536433,0.5402575144684596,,,,
1,100,10,0.5729166666666666,0.8761722322947586,0.5267495738064155,-5.986185725249425,-5.874499332443257,0.011752898550724639,0.9450375547679537
1,100,20,0.6266318537859007,0.8734702898167996,0.5612871676179674,-9.90023023791251,-5.250875145857643,0.01318695652173913,0.9392518928326964
1,100,50,1.9832985386221296,0.8797616476666552,0.5541903654720599,-20.64466615502686,-28.109452736318406,0.023857971014492753,0.8907861750256558
1,250,10,1.09375,0.879144646647941,0.5468049655079322,-5.448963929393707,-3.614457831325301,0.011702795031055901,0.9455538026390302
1,250,20,1.671018276762402,0.8725496602982381,0.5577325143710422,-10.130468150422104,-8.64864864864865,0.012975465838509318,0.9403799345033728
1,250,50,4.54070981210856,0.8809013632183702,0.5518488545727962,-21.412125863392173,-26.585365853658537,0.02422298136645963,0.8894986369749405
1,500,10,1.6145833333333335,0.8789826705255478,0.5202398435829462,-7.13737528779739,-5.64516129032258,0.012108385093167702,0.9437521513489187
1,500,20,3.8120104438642297,0.8785566092738465,0.5460369987481383,-9.28626247122026,-6.382978723404255,0.012871842650103521,0.9409216728918284
1,500,50,8.663883089770355,0.8751421796915084,0.5517718522036033,-21.028396009209516,-28.532608695652172,0.024989130434782608,0.8863592679953124
2,0,0,0.0,0.8739849387473126,0.5613003544625352,,,,
2,100,10,0.625,0.8746382639831818,0.5662437678882849,-6.0606060606060606,-6.973995271867612,0.011365942028985505,0.9488975557749779
2,100,20,1.0443864229765012,0.8729508532324255,0.562840988537267,-2.4390243902439024,-9.41320293398533,0.013615113871635609,0.9379258061095687
2,100,50,2.0876826722338206,0.8749941957076239,0.577601855036933,-15.81670362158167,-24.871794871794872,0.021404968944099382,0.9034719354348468
2,250,10,0.9375,0.8656693332379923,0.561088677937311,-4.951958610495196,-4.861111111111112,0.010857867494824017,0.9510360024708342
2,250,20,1.8276762402088773,0.8760584191482239,0.5634457602517331,-3.917220990391722,-9.05511811023622,0.01292184265010352,0.9408979219442891
2,250,50,4.645093945720251,0.8781818071939572,0.5841436724614549,-14.042867701404289,-21.85929648241206,0.020135403726708072,0.910652183807582
2,500,10,1.71875,0.8647399372065069,0.558486971222578,-5.617147080561715,-6.8035943517329915,0.011194099378881987,0.9495705067192031
2,500,20,3.759791122715405,0.8750939244061349,0.5632232153190194,-3.0303030303030303,-8.53960396039604,0.012936128364389234,0.9407931754469069
2,500,50,8.1419624217119,0.8729097996454387,0.5752336710698923,-14.781966001478198,-23.711340206185564,0.020519875776397516,0.9096082088825199
3,0,0,0.0,0.8738705752754373,0.5412664272634279,,,,
3,100,10,0.5208333333333334,0.878769105259221,0.5237314263302215,-3.8669760247486464,-3.567318757192175,0.010907246376811595,0.9495747710871013
3,100,20,0.783289817232376,0.8761122164818893,0.5483423391586442,-6.34184068058778,-7.612456747404845,0.013041821946169773,0.9380761483386545
3,100,50,1.7223382045929019,0.8835164455003336,0.5489781943132992,-18.252126836813613,-25.407925407925408,0.019656418219461697,0.9153658859824229
3,250,10,0.8333333333333333,0.877946320287107,0.5307192124548433,-3.17092034029389,-3.690888119953864,0.010769979296066252,0.9499285641347319
3,250,20,1.8276762402088773,0.8748672908840559,0.5522083578176193,-5.2590873936581595,-7.542579075425791,0.013345652173913045,0.9357042727908197
3,250,50,4.749478079331942,0.8845434683682958,0.5518915567685095,-17.014694508894046,-24.829157175398635,0.01978778467908903,0.911849215380735
3,500,10,1.4583333333333335,0.8749490955053562,0.5285481252199229,-3.7122969837587005,-3.958090803259604,0.010903830227743274,0.9495570429782326
3,500,20,3.6553524804177546,0.8775655802232236,0.5503604612058672,-5.4911059551430785,-8.165680473372781,0.01351014492753623,0.9355045006474465
3,500,50,8.768267223382047,0.8806513960716841,0.5490233140636792,-17.40139211136891,-24.829157175398635,0.01971366459627329,0.9130489602503101
4,0,0,0.0,0.8668758037987649,0.5338484515749591,,,,
4,100,10,0.46875,0.8690664179536758,0.5414431505890892,-1.9466474405191059,-3.467561521252797,0.010696790890269151,0.9509792890052218
4,100,20,0.9921671018276762,0.8655011145576206,0.5405339190114195,-5.912040374909877,-6.888888888888889,0.01222826086956522,0.9447217492483263
4,100,50,1.4613778705636742,0.8685639673755438,0.5428246881178921,-20.76423936553713,-23.376623376623375,0.021860869565217392,0.9059205157545885
4,250,10,1.0416666666666667,0.877361571650197,0.5640249484160504,-2.523431867339582,-2.0618556701030926,0.01142712215320911,0.946881204491117
4,250,20,1.7754569190600522,0.8672209643929962,0.5451016567396633,-5.984138428262437,-7.710011507479862,0.01228457556935818,0.9445622313219416
4,250,50,4.801670146137787,0.876311933856624,0.5503883894329911,-20.980533525594808,-23.28767123287671,0.022200724637681156,0.9025321460966823
4,500,10,1.1979166666666667,0.8782931629646127,0.5503911828328196,-1.8745493871665464,-2.5462962962962963,0.010905590062111803,0.9490972403244302
4,500,20,4.177545691906005,0.8670521721669937,0.5446180783699731,-4.902667627974044,-4.586129753914989,0.012316045548654245,0.9447012091259631
4,500,50,8.61169102296451,0.8687203841326026,0.5499902236306259,-20.115356885364093,-24.46808510638298,0.02215672877846791,0.9022211826336063
5,0,0,0.0,0.8813036457612072,0.543484585507511,,,,
5,100,10,0.2604166666666667,0.8817111354955575,0.539997658650765,-2.8735632183908044,-4.47585394581861,0.011001035196687372,0.9486598347022416
5,100,20,0.4699738903394256,0.8830236041604363,0.5272319990178823,-7.327586206896551,-11.705202312138727,0.012720186335403727,0.9422437432568149
5,100,50,2.1398747390396657,0.8789035840041118,0.5602410981114908,-20.330459770114942,-26.18384401114206,0.020813768115942027,0.9128756859000865
5,250,10,0.7291666666666667,0.882738685533035,0.5365315712794206,-2.586206896551724,-4.7114252061248525,0.010938198757763976,0.9491578203434944
5,250,20,1.723237597911227,0.8786146006990506,0.5365635410660877,-6.25,-13.213213213213212,0.012734472049689442,0.9421060020086024
5,250,50,4.227557411273486,0.8818307932429208,0.5410907188721894,-20.330459770114942,-27.200000000000003,0.021318840579710143,0.9101290205666617
5,500,10,1.71875,0.88363593302581,0.5385306438035575,-1.1494252873563218,-5.641025641025641,0.011183850931677019,0.9476443942381765
5,500,20,3.394255874673629,0.8805523915785741,0.5330871386053371,-7.183908045977011,-13.117066290550069,0.012723395445134577,0.9420989116738708
5,500,50,8.1419624217119,0.8755403089949289,0.5499474797674662,-21.982758620689655,-26.027397260273972,0.02096304347826087,0.9126993402111947
6,0,0,0.0,0.8844853229664984,0.5428805194358506,,,,
6,100,10,0.36458333333333337,0.8860215875176435,0.5569779564923716,-2.037489812550937,-5.046948356807512,0.011821635610766046,0.9445916363980098
6,100,20,0.8877284595300261,0.890618649689972,0.563349014797026,-4.808475957620212,-6.747638326585695,0.012690683229813664,0.9406706081207193
6,100,50,2.348643006263048,0.8886064371362,0.5594524230365469,-15.810920945395274,-24.154589371980677,0.021242546583850934,0.9066746227967191
6,250,10,0.8333333333333333,0.8900422890613366,0.5467359723840347,-1.2224938875305624,-3.8509316770186333,0.01115496894409938,0.9468212023249646
6,250,20,2.0365535248041775,0.8829785438788632,0.5566170243152354,-4.88997555012225,-8.819875776397515,0.012139544513457556,0.9435076217229894
6,250,50,5.11482254697286,0.8899471946133575,0.538280829335871,-14.91442542787286,-23.67758186397985,0.0208212215320911,0.9068388641759157
6,500,10,1.1458333333333333,0.888033530519673,0.5561726755113343,-1.8744906275468622,-3.3047735618115053,0.01139896480331263,0.945313934291174
6,500,20,2.9765013054830285,0.8845990796991478,0.5521889373032219,-5.623471882640587,-7.18954248366013,0.01229296066252588,0.9433675786975503
6,500,50,8.089770354906054,0.8920402025656069,0.5746806841640569,-16.21841890790546,-23.91304347826087,0.021861697722567283,0.9019494294330876
7,0,0,0.0,0.882693268395881,0.5505518337327135,,,,
7,100,10,0.41666666666666663,0.8800580064377936,0.5534484488781236,-3.369175627240143,-5.687203791469194,0.011480538302277432,0.9456129687812671
7,100,20,0.783289817232376,0.8750135020818566,0.5406969184495135,-9.82078853046595,-9.98766954377312,0.013835714285714288,0.9368235909944931
7,100,50,1.9832985386221296,0.8725133484872344,0.5677777447124871,-23.154121863799283,-28.388746803069054,0.02063033126293996,0.9157355745359093
7,250,10,0.625,0.8828604221432519,0.5610320251584169,-3.942652329749104,-7.024793388429752,0.011373498964803313,0.945700288939323
7,250,20,1.671018276762402,0.874090134577731,0.5373448289456085,-10.10752688172043,-9.310761789600967,0.01347577639751553,0.9395296835180696
7,250,50,4.801670146137787,0.8704802695752659,0.5558478540851578,-22.58064516129032,-27.019498607242337,0.020696687370600413,0.9145934598329729
7,500,10,2.2395833333333335,0.8806251171440987,0.5518752378257141,-2.795698924731183,-4.387096774193548,0.011719254658385093,0.9442529001337395
7,500,20,3.6553524804177546,0.8720667248770024,0.551822034292775,-11.11111111111111,-10.727496917385944,0.013474016563146998,0.939664259733429
7,500,50,8.768267223382047,0.87497846727303,0.5544211521893475,-23.51254480286738,-27.397260273972602,0.02022536231884058,0.9182840958614369
8,0,0,0.0,0.8829919052850389,0.5523389627212272,,,,
8,100,10,0.36458333333333337,0.8808334667218829,0.5441987955952812,-3.4682080924855487,-1.843817787418655,0.010460559006211179,0.952280666809275
8,100,20,0.835509138381201,0.8727990847490714,0.5244097119708341,-4.841040462427745,-4.435058078141499,0.012232194616977225,0.9431030520715629
8,100,50,1.826722338204593,0.8822893463476377,0.5472536107669633,-17.557803468208093,-18.461538461538463,0.022256314699792962,0.9013172754034846
8,250,10,1.09375,0.8775967068499494,0.5448176209208356,-4.046242774566474,-0.8781558726673985,0.010369151138716356,0.9529656537840628
8,250,20,2.297650130548303,0.8818255043382236,0.5249092943497786,-4.913294797687861,-3.1216361679224973,0.012392960662525881,0.9425665155497533
8,250,50,3.914405010438413,0.878424895859179,0.5477000471452378,-16.40173410404624,-17.77777777777778,0.021285921325051763,0.9044496535260431
8,500,10,1.8229166666666665,0.8811031014862952,0.543409915001371,-2.384393063583815,-0.11013215859030838,0.010793271221532091,0.9510206112574552
8,500,20,3.185378590078329,0.8689217420051898,0.5318386651307097,-4.407514450867052,-1.5132408575031526,0.012498136645962735,0.9419483122713733
8,500,50,7.985386221294363,0.8810489204732648,0.5528953078362574,-16.61849710982659,-19.81132075471698,0.02211656314699793,0.9019264706817609
9,0,0,0.0,0.8787590429497952,0.5349273953068661,,,,
9,100,10,0.2604166666666667,0.890241921358649,0.5399562360147245,-2.2780832678711707,-2.0761245674740483,0.011414389233954452,0.9464375678722196
9,100,20,1.2010443864229765,0.878879804034516,0.5426379436490028,-7.698350353495679,-7.199999999999999,0.013360144927536231,0.9380203496310445
9,100,50,2.4530271398747394,0.8750623292220315,0.5647216447084208,-22.780832678711704,-21.666666666666668,0.023801656314699795,0.8918225176621917
9,250,10,0.7291666666666667,0.8885730126053571,0.5444014630192949,-2.04241948153967,-4.534005037783375,0.011003312629399586,0.9487000953742291
9,250,20,1.9843342036553524,0.8834626334450244,0.543664220491511,-7.698350353495679,-8.053691275167784,0.01313768115942029,0.9400663156452762
9,250,50,4.906054279749479,0.8733228333414181,0.5622744591091863,-22.93794186959937,-22.167487684729064,0.024288198757763974,0.8899404472008469
9,500,10,1.40625,0.8847177309231917,0.5405559183324607,-2.670856245090338,-2.7586206896551726,0.01117008281573499,0.9475523046161994
9,500,20,3.289817232375979,0.8798894705180339,0.5413934846876944,-6.677140612725845,-7.035755478662054,0.013058799171842649,0.9397027557974182
9,500,50,8.350730688935283,0.8735534236439668,0.5769409429881537,-22.93794186959937,-20.714285714285715,0.024452587991718424,0.890445212655627
10,0,0,0.0,0.8929566458225434,0.56085653310171,,,,
10,100,10,0.3125,0.891056941638018,0.5618108227009231,-2.295332823259373,-2.284263959390863,0.01098416149068323,0.9490720309686437
10,100,20,0.6788511749347259,0.9022567483416656,0.555497940455181,-5.432287681713849,-6.651108518086348,0.011945031055900623,0.9440031443279576
10,100,50,2.348643006263048,0.8991783123083656,0.5839256986441053,-19.892884468247896,-20.789473684210527,0.020827536231884058,0.9081133109337199
10,250,10,1.1458333333333333,0.892367279053809,0.5630437468466456,-5.508798775822494,-3.926701570680628,0.011174223602484473,0.9481758236381416
10,250,20,1.7754569190600522,0.8947134886456565,0.5546113181322401,-5.891354246365723,-5.909617612977984,0.011624948240165633,0.9455476834839489
10,250,50,4.592901878914405,0.8988279516829458,0.5745583988684746,-20.811017597551647,-19.473684210526315,0.02065569358178054,0.9097301471145937
10,500,10,1.3020833333333335,0.893581218203572,0.5642190829542785,-3.1369548584544757,-0.2724795640326975,0.010986128364389234,0.9488204906131358
10,500,20,3.289817232375979,0.8963196217577012,0.5619417224616303,-5.049732211170619,-8.75462392108508,0.011677329192546585,0.9458113684747735
10,500,50,7.67223382045929,0.8994667754291188,0.5790224147388993,-18.439173680183625,-18.01566579634465,0.02144399585921325,0.9026374411256995
11,0,0,0.0,0.8654883183500346,0.541909609174384,,,,
11,100,10,0.7291666666666667,0.8666172382008852,0.526645377312059,-3.2334384858044163,-2.261904761904762,0.011022049689440993,0.9484481638400266
11,100,20,1.0966057441253265,0.8675426969277912,0.55056829747024,-6.38801261829653,-7.868020304568528,0.012648964803312632,0.9402625343851012
11,100,50,1.6701461377870561,0.8521635708617502,0.5520575024043134,-19.79495268138801,-16.94915254237288,0.020917391304347825,0.9088326529175239
11,250,10,0.9895833333333333,0.8598428141776161,0.5245133699111423,-4.495268138801261,-2.2326674500587544,0.010869254658385095,0.9485850393460514
11,250,20,2.0887728459530024,0.8688576408172989,0.5383869811099543,-4.100946372239748,-4.07185628742515,0.012633436853002071,0.9403465774152262
11,250,50,4.227557411273486,0.844698113330802,0.5581402853821784,-19.558359621451103,-17.579908675799086,0.02076573498964803,0.908649931179194
11,500,10,1.4583333333333335,0.8524604809894858,0.523195344208972,-2.050473186119874,-1.542111506524318,0.010905175983436852,0.948562782406086
11,500,20,3.5509138381201044,0.866381239058061,0.5328857296840552,-5.047318611987381,-3.7897310513447433,0.012865010351966875,0.9399244394080776
11,500,50,8.089770354906054,0.8565228194524295,0.5470328901676208,-18.53312302839117,-16.166281755196305,0.02054047619047619,0.9103555486820869
12,0,0,0.0,0.8746960891464175,0.5653318901182076,,,,
12,100,10,0.5729166666666666,0.8723362553841205,0.5639652284986578,-7.24191063174114,-8.505997818974919,0.011229813664596274,0.9494016675384827
