rep,dist_m,frac,eff_dose,auc,tss,range_area_pct_change_05,range_area_pct_change_maxsss,suitability_mad,schoener_d
0,0,0,0.0,0.7546975178586709,0.3587457851158523,,,,
0,100,10,1.774193548387097,0.7519448198228827,0.3400289366871947,-4.142988084326306,-7.632093933463796,0.025334702083066,0.9613576167378806
0,100,20,2.096774193548387,0.7548646932752313,0.32801352747338297,-9.495875343721357,-18.739815317762083,0.03136353137431028,0.9545988231812131
0,100,50,6.270096463022508,0.7310620561138649,0.2520110523813294,-32.17231897341888,-59.962406015037594,0.0599396894649044,0.9305336012203811
0,250,10,0.6451612903225806,0.752901897184534,0.3529382812060721,-5.206232813932172,-6.63465735486687,0.02516412164763249,0.96203042715279
0,250,20,3.225806451612903,0.753192094124192,0.3252014897234686,-8.157653528872594,-18.91891891891892,0.03136207707771932,0.9552456518617854
0,250,50,9.32475884244373,0.7273241945988533,0.2466665132165158,-31.695692025664528,-54.29497568881686,0.058120278882758024,0.9320096650212002
0,500,10,3.064516129032258,0.7584942642534638,0.34417199969900514,-7.241063244729606,-9.887133182844243,0.026752042431241713,0.9598533402366007
0,500,20,4.354838709677419,0.7490507567516841,0.31533357653306043,-8.322639780018331,-17.87032156035846,0.029340091535138373,0.9578135643451076
0,500,50,8.842443729903538,0.736302872397962,0.25430345491402667,-33.19890009165903,-52.92153589315526,0.060247059326746226,0.928984356957099
1,0,0,0.0,0.75709386698226,0.38694084532582856,,,,
1,100,10,1.6129032258064515,0.7593676754876771,0.3737539261475958,-8.081343943412909,-12.411764705882353,0.024705077206039604,0.9628625800009609
1,100,20,1.935483870967742,0.7653510509397086,0.38063229952858124,-12.46684350132626,-19.566367001586464,0.03116788570939732,0.9561319854934495
1,100,50,7.07395498392283,0.7655598873231209,0.3906873690499818,-35.86206896551724,-58.09768637532133,0.06278728773685786,0.9299660716651528
1,250,10,1.4516129032258065,0.7639348404929308,0.38146184108533704,-8.187444739168876,-13.941176470588236,0.024655802215663634,0.9634645535376293
1,250,20,4.354838709677419,0.7612261667271405,0.37510424581266477,-12.095490716180372,-16.674840608141245,0.030773685786389497,0.9568486821480846
1,250,50,8.19935691318328,0.769086713409855,0.3805399897134432,-34.8894783377542,-59.12596401028277,0.06363668249283545,0.9284741141209181
1,500,10,2.4193548387096775,0.7620742992516258,0.36824299239197017,-8.452696728558799,-12.550607287449392,0.024976945121690408,0.9631436926909523
1,500,20,4.677419354838709,0.7698769810309222,0.4005757660236062,-16.67550839964633,-16.349384098544235,0.03596817656871552,0.9496311620314434
1,500,50,8.520900321543408,0.764972010505071,0.37736426790079014,-36.42793987621574,-58.333333333333336,0.06385884768381882,0.9289032507995336
2,0,0,0.0,0.753515181317365,0.37411329892101947,,,,
2,100,10,1.129032258064516,0.7409684337148651,0.36207645153365875,-4.537071191442272,-11.14341085271318,0.024408315154625947,0.9631311335846542
2,100,20,2.5806451612903225,0.7471781270169312,0.3580988793450814,-10.402065658428624,-15.933669790915644,0.03193857735574661,0.9541746726374853
2,100,50,6.913183279742766,0.7490293832818302,0.32053756061824906,-27.572851346366654,-59.72972972972973,0.0659336156379657,0.9150682396024322
2,250,10,1.6129032258064515,0.74922718232166,0.3655469133421124,-4.223533751383254,-10.669162377164248,0.025731896146114035,0.9611802949561643
2,250,20,1.774193548387097,0.7468483215311651,0.3481130370478956,-10.82626337144965,-14.355231143552311,0.033641815304332946,0.9497893680562477
2,250,50,9.003215434083602,0.7665491081787467,0.34389186447634923,-27.388417558096645,-62.75659824046921,0.0688830146712862,0.9107351627073157
2,500,10,1.935483870967742,0.7468595528036142,0.355362586195002,-3.909996311324235,-7.717190388170056,0.025824115659352408,0.9608413177897686
2,500,20,4.516129032258064,0.7528517458251109,0.3698440491746975,-12.965695315381778,-15.835411471321695,0.032592839727960995,0.9531056772248959
2,500,50,10.128617363344052,0.7594840610775953,0.32835017530376437,-28.05237919586868,-62.05128205128205,0.06859360964968562,0.9125657393891778
3,0,0,0.0,0.7619083300511134,0.3858016938247667,,,,
3,100,10,1.774193548387097,0.7616840168697018,0.4128032596601202,-5.119750086775425,-8.296164139161464,0.025606227811283633,0.961251740312848
3,100,20,2.5806451612903225,0.7749018332455673,0.396898353516919,-11.992363762582436,-16.97054698457223,0.032852132255442916,0.9539500383090739
3,100,50,7.234726688102894,0.7552331739950922,0.31357896212086706,-30.40610898993405,-56.666666666666664,0.06501039394328244,0.9165844385927528
3,250,10,1.4516129032258065,0.7604300255433318,0.39499866809837103,-5.3974314474140925,-9.82552800734619,0.024951366611061208,0.9627278888736699
3,250,20,3.548387096774194,0.768893894130605,0.40253451943971025,-12.148559527941687,-20.3199308257674,0.03412241755421532,0.9518357987261052
3,250,50,8.038585209003216,0.759364828333683,0.3245026364606562,-28.63589031586255,-55.182072829131656,0.06442901749433254,0.9183083976057174
3,500,10,2.5806451612903225,0.7529513752669115,0.3816078223423903,-4.755293300937175,-10.008779631255488,0.025276444672569398,0.9621139464985902
3,500,20,4.193548387096774,0.7758363919908807,0.4104434108827037,-11.92294342242277,-21.62303664921466,0.034315753453954406,0.9519021100603061
3,500,50,10.289389067524116,0.7540479462906544,0.3309200526988539,-29.3127386324193,-56.30252100840336,0.06765208092732795,0.9103960479787025
4,0,0,0.0,0.7351161272894606,0.32455445685483647,,,,
4,100,10,1.4516129032258065,0.7304405824257927,0.32968317654305185,-6.2557497700092,-5.48494983277592,0.026169896060567178,0.9599264518441671
4,100,20,2.258064516129032,0.7333175586554914,0.34199673536203723,-12.989880404783808,-22.850467289719624,0.0333684075452329,0.9523201375105048
4,100,50,6.591639871382636,0.7195991815923839,0.25097783502555343,-29.40202391904324,-66.10576923076923,0.06374712348688995,0.9198211810312176
4,250,10,1.774193548387097,0.7337801739923495,0.3449475447947238,-5.814167433302668,-6.546795758414016,0.024419265152487275,0.9626225470538994
4,250,20,3.870967741935484,0.7276043546149894,0.3117632438440461,-9.82520699172033,-22.943925233644862,0.03522109585525472,0.9488877445940493
4,250,50,7.877813504823152,0.7172390092866197,0.2863515104150918,-29.494020239190434,-57.04697986577181,0.06578810043201164,0.915494748755836
4,500,10,1.6129032258064515,0.7316845041239676,0.33822408314625807,-5.225390984360626,-5.218216318785579,0.026445699131699387,0.9586492060045128
4,500,20,3.709677419354839,0.7247619156585196,0.30629799801989366,-12.382704691812329,-23.934771173066807,0.03348381025706831,0.9516656462296362
4,500,50,11.736334405144696,0.7164401422940267,0.27539844252538925,-31.039558417663294,-72.29551451187335,0.06541434620813551,0.9196309510889566
5,0,0,0.0,0.746716384663689,0.37330963755188,,,,
5,100,10,1.4516129032258065,0.7357181941239074,0.34319850546842257,-6.243194192377496,-8.523809523809524,0.02481799905898456,0.9619533859847835
5,100,20,2.4193548387096775,0.7381074955104643,0.3090829772663091,-15.662431941923774,-18.447694038245217,0.033714444587022545,0.9528969067739118
5,100,50,6.430868167202572,0.7202578863774944,0.2605180575801016,-27.295825771324868,-52.46212121212122,0.06518585054963856,0.9147946894449033
5,250,10,0.967741935483871,0.7390131383389165,0.33626644133489897,-4.918330308529946,-8.706467661691542,0.02526489584670003,0.9610674789412639
5,250,20,2.5806451612903225,0.7322881142655009,0.28746326471223144,-16.098003629764065,-18.461538461538463,0.03326224389409299,0.9534228925357785
5,250,50,7.556270096463022,0.7235979828596453,0.2778435636708211,-26.31578947368421,-49.629629629629626,0.07068120963257625,0.9021945165520328
5,500,10,2.096774193548387,0.7331566315787341,0.33973153119557514,-5.825771324863884,-10.52910052910053,0.02544736729543608,0.9613146317410569
5,500,20,4.193548387096774,0.7398327450543027,0.31650832475967156,-16.206896551724135,-18.9584285061672,0.03277522562983874,0.9534743077261097
5,500,50,9.485530546623794,0.7269769283201228,0.2783221648997873,-28.566243194192374,-55.62015503875969,0.06704084862483425,0.911658237883931
6,0,0,0.0,0.7475534074016332,0.37397629572578167,,,,
