rep,level,mode,d_str1,n,auc,tss,range_area_pct_change_05,range_area_pct_change_maxsss,suitability_mad,schoener_d
0,3,plain,0.13368983957219172,1496,0.7741949333436458,0.409756037832665,-2.7572940044886183,-2.2433718558803535,0.02379051095269226,0.9574372622937595
0,3,stratified,0.0,1496,0.7729326753160818,0.4063943436430339,-0.6732927220262905,-0.6934812760055479,0.02525953034689579,0.9549424951192846
0,10,plain,1.3368983957219243,1496,0.7704721439596175,0.40325978866868667,-3.3985251683231805,-5.209840810419681,0.03349200095466385,0.9400327435983185
0,10,stratified,0.0,1496,0.7604315844111408,0.39669948982744113,2.404616864379609,-2.795248078266946,0.031208923443569334,0.9441679367182454
0,20,plain,2.740641711229941,1496,0.7460272727959557,0.3670563598625722,-5.065726194293043,-14.954577218728163,0.04325065640371589,0.9215372825842667
0,20,stratified,0.0,1496,0.7437368997618599,0.36259288392961186,-4.007694773966015,-14.344543582704187,0.04310040155941006,0.9220191445991059
1,3,plain,0.8021390374331574,1496,0.7720464706563677,0.4256377982137655,-0.16561775422325273,-3.9239730226854688,0.023364265064491692,0.9576452805303686
1,3,stratified,0.0,1496,0.7773453679074181,0.43939452690994324,-0.8943358728055647,-1.4566181127295756,0.023910043271176414,0.9566677504147583
1,10,plain,1.3368983957219243,1496,0.7670771277426498,0.4221835607874251,1.6230539913878768,-3.6465638148667603,0.031938849733835574,0.9415911195256936
1,10,stratified,0.0,1496,0.7616307479116597,0.4098381397820031,3.2129844319311025,-7.244094488188976,0.0323854400273947,0.9413476298587592
1,20,plain,2.8743315508021396,1496,0.7535064001807478,0.40342484243449084,-0.9605829744948658,-13.080771979985704,0.04829035002744526,0.9117250861833172
1,20,stratified,0.0,1496,0.764132363270674,0.4156466530227337,-2.947996025173899,-12.180889861415025,0.04145431580695037,0.9245531397223219
2,3,plain,0.13368983957219172,1496,0.78330290480861,0.42436180296042764,-0.6064281382656156,-1.167076167076167,0.02258437142649607,0.9597910118800033
2,3,stratified,0.0,1496,0.7954569583748639,0.4588508211386242,1.5160703456640388,-2.197802197802198,0.023682978966265086,0.9576607740271971
2,10,plain,1.470588235294116,1496,0.7752703460432332,0.40843393540814316,0.7883565797453002,-3.359173126614987,0.03191294178280014,0.9422829535342575
2,10,stratified,0.0,1496,0.7857597857019403,0.42515483761725525,-3.608247422680412,-3.86977886977887,0.032726791949001584,0.9406938775782362
2,20,plain,2.2727272727272734,1496,0.7670669751277586,0.3966072504458227,1.910248635536689,-4.924242424242424,0.04630143230706971,0.9169567238258717
2,20,stratified,0.0,1496,0.7660644242332866,0.41237480921641445,-1.6979987871437234,-9.142141515341265,0.04417557942215166,0.9203481704564129
3,3,plain,0.0,1496,0.7744131467538642,0.4131356850047082,-0.06533812479581835,0.32679738562091504,0.024222718716599735,0.9566285325214621
3,3,stratified,0.0,1496,0.770326213433772,0.41271013354659736,0.3266906239790918,-0.2578981302385558,0.022469552656974756,0.9597312545988871
3,10,plain,1.5374331550802083,1496,0.7674944979738179,0.3982634627492576,0.6533812479581836,-3.7389100126742716,0.0338644319231288,0.9386804689491426
3,10,stratified,0.0,1496,0.7687092421992675,0.3918765786249615,-1.99281280627246,-5.428954423592494,0.03187592887754361,0.9423894975281406
3,20,plain,2.6737967914438485,1496,0.747902477789382,0.3506606550344117,-4.606337798105194,-16.065109695682946,0.046944311656238004,0.9143807476477573
3,20,stratified,0.0,1496,0.7506740873747692,0.36632036533379875,-3.4629206141783735,-13.304721030042918,0.04645503948365138,0.9151816391136349
4,3,plain,0.0668449197860923,1496,0.777292239761271,0.430136456969343,1.4418455623197692,0.0,0.023664414905208108,0.9573825520449825
4,3,stratified,0.0,1496,0.7764853198242191,0.42834909398091936,1.4738865748157641,-2.9639175257731956,0.023339813114175722,0.9580043400499979
4,10,plain,0.6016042780748663,1496,0.7715204016699301,0.43131298367795673,-0.4806151874399231,-7.328145265888457,0.034166296008052384,0.9377849168295214
4,10,stratified,0.0,1496,0.7678569127889424,0.4024170327901479,-1.4418455623197692,-8.50253807106599,0.03240917269384691,0.9411526889226322
4,20,plain,2.606951871657749,1496,0.7514013018978333,0.3780083018679368,-1.2495994873438,-19.633152173913043,0.051458633585489105,0.9068555949786935
4,20,stratified,0.0,1496,0.7616803791653655,0.388871734673306,-2.8196090996475487,-17.54152823920266,0.048930572549892665,0.9110968072423432
5,3,plain,0.13368983957219172,1496,0.7582971875579663,0.3803421207312902,0.8633980881899477,-2.2808267997148968,0.02388218991584431,0.9576672926047903
5,3,stratified,0.0,1496,0.7611295465089707,0.3895825871999231,0.21584952204748692,-1.675257731958763,0.02353810696385767,0.9583336418631304
5,10,plain,1.2700534759358248,1496,0.758136638911978,0.37753872384481246,1.6959605303731111,-5.199516324062878,0.033607126773132434,0.9401488177510499
5,10,stratified,0.0,1496,0.7550840968249306,0.3807717125139866,1.356768424298489,-6.557377049180328,0.03252500368375722,0.9419457479500905
5,20,plain,2.8743315508021396,1496,0.7518194787941672,0.35832337406750975,2.0351526364477337,-8.627450980392156,0.04381594262810868,0.9213742523128939
5,20,stratified,0.0,1496,0.7373012518037384,0.34978398550018613,-2.2201665124884364,-11.72106824925816,0.043954517739106976,0.9213767495779777
6,3,plain,-0.06684491978609941,1496,0.777305279771992,0.4345254424722897,0.148720999405116,0.5724098454493417,0.023302530689329554,0.9581028637158302
6,3,stratified,0.0,1496,0.7780689147703033,0.4287060967941631,-0.9220701963117192,-0.7945516458569807,0.02312120287644367,0.9583569481872966
6,10,plain,2.205882352941174,1496,0.7598179411155002,0.40996737761979335,-2.4390243902439024,-7.914572864321608,0.03653438844441677,0.9331524674917829
6,10,stratified,0.0,1496,0.7685519579627249,0.4126272153748782,-4.4913741820345034,-7.836822329575953,0.03202456433085328,0.9413874708861706
6,20,plain,2.8743315508021396,1496,0.7524018964855432,0.3844618148714153,-2.97441998810232,-12.372304199772985,0.052453063992979006,0.9039127488571848
6,20,stratified,0.0,1496,0.7646129889539511,0.4104842165530077,-2.379535990481856,-12.964090079123554,0.04099350365089742,0.9257294746089287
7,3,plain,0.0668449197860923,1496,0.7841271660729158,0.4405158534311191,-1.9361084220716358,-0.5144694533762058,0.023804523861407714,0.9574259955047956
7,3,stratified,0.0,1496,0.78431578316666,0.43858113367011153,1.6134236850596968,1.8006430868167203,0.02416425759320943,0.9568959038917914
7,10,plain,1.9385026737967905,1496,0.7649901592819185,0.39793800438635446,-2.6137463697967087,-7.100199071001991,0.03742790233373803,0.9313072630377306
7,10,stratified,0.0,1496,0.7688553127493767,0.4033669165848827,0.935785737334624,-5.109034267912772,0.03432617200552045,0.9381130524287483
7,20,plain,2.406417112299458,1496,0.7852718135381404,0.4415357870491638,-4.808002581477896,-17.212041884816752,0.052018752710934014,0.906028099280622
7,20,stratified,0.0,1496,0.7622963210208602,0.38714351005894826,-4.549854791868345,-14.340836012861736,0.04623440052550535,0.916151049339595
8,3,plain,0.8021390374331574,1496,0.7716516215406822,0.40490023415909626,2.4072216649949847,-0.7822685788787485,0.0225127590822775,0.9592124819569113
8,3,stratified,0.0,1496,0.7702442288065189,0.4017639707132399,-0.8692744901370779,-0.8264462809917356,0.025039006319459576,0.9543819844987969
8,10,plain,1.0695187165775337,1496,0.7582292337254425,0.4039956280615584,0.4680708793045804,-6.89419795221843,0.0376774767819527,0.9305659968392936
8,10,stratified,0.0,1496,0.7759881416823434,0.4088432504268042,-1.3373453694416584,-0.6222775357809583,0.03357537665985258,0.9387280186206665
8,20,plain,2.6737967914438485,1496,0.7495940676251447,0.3543605250387137,-2.8084252758274824,-13.398940196820591,0.04824974466201096,0.9104735798484225
8,20,stratified,0.0,1496,0.7566091496366865,0.3893850489792545,-1.2704781009695754,-10.98976109215017,0.048585464689544014,0.9098554496233922
9,3,plain,0.26737967914438343,1496,0.7890398048237359,0.4490731226782589,1.9538757206918642,0.4507405022537025,0.02351521464371323,0.9580764684314904
9,3,stratified,0.0,1496,0.8006051766568023,0.4757529541891985,2.4663677130044843,1.1979823455233292,0.02487777916134857,0.955798999369513
9,10,plain,1.6042780748663077,1496,0.7841795979792089,0.45123611878888065,-0.7687379884689303,-6.122448979591836,0.032880399609833036,0.9409730799380792
9,10,stratified,0.0,1496,0.7882569890842851,0.44836256406880354,2.690582959641256,-3.221384509938314,0.030956949849017836,0.9445837092031064
9,20,plain,2.4732620320855574,1496,0.7664420073603707,0.4005660473281292,-2.274183215887252,-13.426573426573427,0.0497177714825307,0.9104034206197242
9,20,stratified,0.0,1496,0.7608129612022924,0.40289840245033315,-2.978859705317104,-17.05163043478261,0.045785311528257704,0.9176096897215682
10,3,plain,0.46791443850267456,1496,0.768419989862734,0.40333242486331206,-0.6556353418669997,-1.829988193624557,0.024960111446627027,0.9557697282786832
10,3,stratified,0.0,1496,0.772457803200949,0.3955024472140242,-2.0605682172962845,-0.5583126550868486,0.023538447218503872,0.9581909472357031
10,10,plain,1.671122994652407,1496,0.7655090713541128,0.387757663045757,2.0293474867311896,-3.3083645443196,0.03303958108935446,0.9409334896813418
10,10,stratified,0.0,1496,0.7674699054830719,0.3981428876871242,-2.653762098033094,-3.2467532467532463,0.028917389928296445,0.948117535298603
10,20,plain,3.342245989304814,1496,0.7349776273917291,0.3298867636552386,0.2497658445207618,-7.12484237074401,0.04305198974774046,0.9229110374182735
10,20,stratified,0.0,1496,0.749770623032019,0.38514986125843975,-0.1248829222603809,-5.821710127349909,0.040189071520232995,0.9273640338964863
11,3,plain,0.20053475935828402,1496,0.7820717943194032,0.4213953057525745,-0.4789272030651341,-1.8354860639021073,0.02266465087320612,0.9593607150345871
11,3,stratified,0.0,1496,0.7802969792581593,0.41227742988911703,0.7982120051085568,-1.6058394160583942,0.024944779337753846,0.9553329005994999
11,10,plain,0.46791443850267456,1496,0.7765636814316603,0.41049894587478963,-1.8518518518518516,-5.917553191489362,0.03261360679609972,0.9408408225290108
11,10,stratified,0.0,1496,0.7776038436755534,0.41372364629138714,-0.6385696040868455,-6.126482213438735,0.03121689094349151,0.9438678337670972
11,20,plain,2.406417112299458,1496,0.7549268422857057,0.3888887431209852,1.0855683269476373,-14.69964664310954,0.049622972909998404,0.9107186039933463
11,20,stratified,0.0,1496,0.7639671662290455,0.40373344899707975,-2.9693486590038316,-11.419558359621451,0.04491240388506678,0.9185842215794168
12,3,plain,-0.06684491978609941,1496,0.7629788209029972,0.40329690902585996,-0.03449465332873405,-0.8358662613981762,0.02445813799043261,0.9559924723348073
12,3,stratified,0.0,1496,0.7585732212339926,0.39531070932508944,-1.7937219730941705,-3.015427769985975,0.023418173894094577,0.9577279572908045
12,10,plain,1.2700534759358248,1496,0.7428916819484678,0.3630042027493368,2.242152466367713,-5.156136528685548,0.03404256956766872,0.9381551537965795
12,10,stratified,0.0,1496,0.7504588580320465,0.38563970977850237,1.8282166264229045,-3.233256351039261,0.030078941738148537,0.945495437432389
12,20,plain,3.275401069518715,1496,0.7526410868493497,0.4014612778710829,2.3801310796826494,-7.625272331154684,0.048231181223560834,0.9120648626297385
12,20,stratified,0.0,1496,0.7438129197099523,0.35234992790305936,-2.932045532942394,-8.362128541810643,0.04217023826975668,0.9229701857330387
13,3,plain,0.46791443850267456,1496,0.7870594655315798,0.43719940931347795,-2.94018249408584,-2.1595680863827234,0.023994790440909426,0.956584791772771
13,3,stratified,0.0,1496,0.7822695823865133,0.436427627159922,0.06759040216289286,0.8880994671403196,0.023087115981280285,0.9582720880520736
13,10,plain,1.2032085561497325,1496,0.7721133273535424,0.42183515720745296,1.2504224400135182,-5.098980203959208,0.03156860636687832,0.9426410019572128
13,10,stratified,0.0,1496,0.7730653730923405,0.42612854141509354,0.43933761405880367,-5.957719410634208,0.03150750988388382,0.942376638674209
13,20,plain,4.1443850267379645,1496,0.7570398159167419,0.3898285565084489,-2.6360256843528216,-13.276089828269486,0.0510342586654768,0.9067559415898754
