entity,algorithm,track,axis,level,replicate,seed,status,n_folds_completed,n_features,benchmark_presence_n,contrast_pool_n,accessible_area_segment_count,reference_set_n,eval_mode,cv_auc,cv_auc_unweighted,cv_brier,cv_brier_unweighted,cv_sensitivity,cv_sensitivity_unweighted,cv_specificity,cv_specificity_unweighted,cv_tss,cv_tss_unweighted,cv_boyce,cv_boyce_unweighted,cv_omission_rate,auc,brier,sensitivity,specificity,tss,boyce,omission_rate,species,category,entity_type,n_experiment,grid_id,importance_spearman,importance_jaccard_top5,importance_jaccard_top10,niche_centroid_disp,niche_breadth_change,CLI_shift,LAC_shift,SOL_shift,TOP_shift,domain_rank_stability,schoener_d,warren_i,threshold_max_sss,threshold_p10,range_area_pct_change_03,range_area_pct_change_07,range_area_pct_change_maxsss,range_area_pct_change_p10,range_area_pct_change_maxsss_fix,suitability_mad,suitability_mean_shift,range_area_pct_change_05,gain_segments,loss_segments,stable_segments
Astacus astacus,random_forest,combined,benchmark,0,0,1046319481,ok,5,291,1646,14562,14562,412,reference_set,0.7373356714666701,0.6901058329776497,0.16201572968145284,0.14643405463366915,0.7911626814975005,0.8400642134883624,0.6232371808137883,0.5569318943465223,0.4143998623112887,0.39699610783488476,0.6275358279492235,0.4912133168852897,0.20883731850249954,0.9437673929885337,0.08802705729931883,0.8131067961165048,0.8790001373437715,0.6921069334602763,0.9999999999999999,0.18689320388349517,Astacus astacus,widespread,DUAL,1646,B,,,,,,,,,,,,,,,,,,,,,,,,,
Astacus astacus,random_forest,combined,benchmark,0,1,3627174369,ok,5,291,1646,14562,14562,412,reference_set,0.7429368185022017,0.7164775306650297,0.16227722954822957,0.14526082037305593,0.7549324769858353,0.813370149168977,0.6568209388348482,0.5755371759790713,0.4117534158206834,0.38890732514804843,0.5868032553340022,0.5012628058681599,0.24506752301416468,0.9447272159350777,0.08690342860958997,0.8276699029126213,0.8829144348303805,0.7105843377430019,0.9999999999999999,0.17233009708737868,Astacus astacus,widespread,DUAL,1646,B,,,,,,,,,,,,,,,,,,,,,,,,,
Astacus astacus,random_forest,combined,benchmark,0,2,52494386,ok,5,291,1646,14562,14562,412,reference_set,0.7786706831289635,0.7789015937100734,0.16418542727547625,0.15142280040588932,0.7361144333080295,0.7980734674541925,0.7272908168431389,0.6839133235233333,0.46340525015116824,0.48198679097752584,0.7468808517779334,0.7270792069485749,0.2638855666919705,0.9447338831084495,0.0853050794710832,0.8131067961165048,0.8867600604312594,0.6998668565477644,0.9999999999999999,0.18689320388349517,Astacus astacus,widespread,DUAL,1646,B,,,,,,,,,,,,,,,,,,,,,,,,,
Astacus astacus,random_forest,combined,benchmark,0,3,727891338,ok,5,291,1646,14562,14562,412,reference_set,0.737176836162936,0.7315386540242051,0.16304937069753275,0.14194087103925992,0.7384171130632471,0.809134537540872,0.66091073803602,0.6065126769183389,0.39932785109926694,0.415647214459211,0.7389057815707984,0.7541051026138454,0.2615828869367529,0.9453181775148245,0.08537063470014691,0.8106796116504854,0.8859359978024997,0.696615609452985,0.9999999999999999,0.1893203883495146,Astacus astacus,widespread,DUAL,1646,B,,,,,,,,,,,,,,,,,,,,,,,,,
Astacus astacus,random_forest,combined,benchmark,0,4,4022204679,ok,5,291,1646,14562,14562,412,reference_set,0.7514609536300482,0.7505852947079171,0.16790412206286237,0.15331152175759935,0.7322312407198843,0.8130193845235363,0.6820879968669576,0.6335864759898586,0.414319237586842,0.446605860513395,0.7586389844684537,0.7748074356874175,0.2677687592801157,0.9508142618839032,0.0873649704821691,0.8689320388349514,0.8818843565444308,0.750816395379382,0.9999999999999999,0.1310679611650486,Astacus astacus,widespread,DUAL,1646,B,,,,,,,,,,,,,,,,,,,,,,,,,
Astacus astacus,random_forest,combined,benchmark,0,5,3181594245,ok,5,291,1646,14562,14562,412,reference_set,0.7229292936966879,0.7089752234878379,0.16718916503667483,0.14660043575197584,0.7013179627377278,0.7924025805105003,0.6881315415699635,0.6222202374417428,0.3894495043076912,0.41462281795224315,0.5040586454103193,0.5441647794279653,0.29868203726227216,0.9455585291148795,0.08360922452250567,0.808252427184466,0.8895069358604587,0.6977593630449248,0.9999999999999999,0.191747572815534,Astacus astacus,widespread,DUAL,1646,B,,,,,,,,,,,,,,,,,,,,,,,,,
Astacus astacus,random_forest,combined,benchmark,0,6,3025177526,ok,4,291,1646,14562,14562,412,reference_set,0.7883768303775378,0.8263413707334559,0.17001519649477584,0.1550177931056926,0.7032366131357864,0.760776746859348,0.748574615326884,0.7363046699907286,0.4518112284626705,0.49708141685007673,0.7456016177957532,0.8606060606060605,0.29676338686421355,0.9470222236890005,0.08515758781888608,0.8203883495145631,0.8882021700315891,0.7085905195461522,0.9999999999999999,0.17961165048543692,Astacus astacus,widespread,DUAL,1646,B,,,,,,,,,,,,,,,,,,,,,,,,,
Astacus astacus,random_forest,combined,benchmark,0,7,645859390,ok,5,291,1646,14562,14562,412,reference_set,0.7767909447477351,0.8191130540043622,0.1633120047976012,0.13926577007592297,0.7201113849978881,0.80722043638263,0.7383850269056955,0.7388270386278122,0.4584964119035838,0.5460474750104422,0.6001738785209311,0.7012799291491107,0.27988861500211193,0.9429285792386888,0.08361355148924804,0.8033980582524272,0.8899876390605687,0.6933856973129959,0.9999999999999999,0.19660194174757284,Astacus astacus,widespread,DUAL,1646,B,,,,,,,,,,,,,,,,,,,,,,,,,
Astacus astacus,random_forest,combined,snapping,1,0,1982658738,ok,5,291,1646,14562,14562,412,reference_set,0.7993901771919971,0.8056951486693926,0.1566832971115741,0.14108383506428013,0.779469885368873,0.83685148097639,0.6697891977238307,0.588048776057,0.4492590830927038,0.4249002570333902,0.8689894182755573,0.803939393939394,0.22053011463112704,0.9458393837931683,0.0875606921330306,0.8543689320388349,0.8821590440873507,0.7365279761261856,0.9999999999999999,0.1456310679611651,Astacus astacus,widespread,DUAL,1646,B,0.9873783013072609,0.6666666666666666,1.0,3559191.111879097,-3629.4279291639104,-0.0009391217932739893,-5.820964354920702e-05,0.003410010538640068,-0.0024126791018168614,1.0,0.9589285227274337,0.9976422549990819,0.714,0.825,-0.7597589730154571,0.15479876160990713,0.8547008547008548,-0.411522633744856,1.2367491166077738,0.01631245708007142,0.0007135008927345146,-2.6106696935300793,89.0,135.0,1627.0
Astacus astacus,random_forest,combined,snapping,1,1,1208020313,ok,5,291,1646,14562,14562,412,reference_set,0.7601424092456206,0.7521919514452461,0.16015538851156166,0.1420970177408312,0.7708177997852427,0.8300696021244882,0.6436195571729112,0.5694538469846743,0.41443735695815387,0.39952344910916254,0.6543693088832178,0.5671368609847922,0.22918220021475733,0.9475037602857818,0.08676313948180626,0.8422330097087378,0.8831891223733004,0.7254221320820382,0.9999999999999999,0.15776699029126218,Astacus astacus,widespread,DUAL,1646,B,0.9873193452576137,1.0,0.8181818181818182,2041849.833885137,-381.5338008045219,0.003569362473583082,-0.0005221714300620711,-0.0013855986569766277,-0.0016615923865443416,1.0,0.957827892089421,0.9974658916080127,0.704,0.822,-0.6782419967444384,0.8156606851549755,2.030456852791878,-1.9305019305019304,2.030456852791878,0.016825925271907967,-3.988986337564823e-05,-0.23460410557184752,101.0,105.0,1600.0
Astacus astacus,random_forest,combined,snapping,1,2,110845662,ok,5,291,1646,14562,14562,412,reference_set,0.7740331478338938,0.779040289020639,0.16633562023779133,0.1529323219923598,0.7305425891091557,0.7946510559865559,0.7108350618646632,0.6765436354711623,0.44137765097381887,0.4711946914577182,0.736152960393823,0.7796424643102957,0.2694574108908443,0.9446971303152373,0.08553262055361113,0.8252427184466019,0.8858673259167696,0.7111100443633716,0.9999999999999999,0.1747572815533981,Astacus astacus,widespread,DUAL,1646,B,0.9849249439282256,0.6666666666666666,0.8181818181818182,1309231.3568881976,23820.45340496674,0.0016843357234562761,-0.0006544061108761587,0.002539811873869452,-0.003569741486449507,1.0,0.95943237803942,0.9977377695155899,0.73,0.814,-0.5635390250774865,-0.6097560975609756,-1.2844036697247707,-1.0714285714285714,0.3284072249589491,0.015863717045670075,0.00041619675476288584,0.7883565797453002,90.0,77.0,1572.0
Astacus astacus,random_forest,combined,snapping,1,3,4072231836,ok,5,291,1646,14562,14562,412,reference_set,0.7402439057461103,0.7280152332265375,0.16086238158998012,0.140154190851764,0.734071031325967,0.8116204779289242,0.6902939618827113,0.6139091244119641,0.42436499320867815,0.4255296023408883,0.7430312960060347,0.7485222840036027,0.26592896867403304,0.9478440361467472,0.08468613333324217,0.8349514563106796,0.8871720917456394,0.7221235480563188,0.9999999999999999,0.16504854368932043,Astacus astacus,widespread,DUAL,1646,B,0.9876871854784619,0.6666666666666666,1.0,1174385.8050882441,-2102.397882576566,0.0024087867744047586,-0.00036882024138125413,-0.005479299378842811,0.003439332845819265,1.0,0.9593951268999702,0.9978008136173872,0.686,0.814,-0.637649015802606,-0.8210180623973727,-2.7027027027027026,-3.7735849056603774,1.584507042253521,0.016079794060644904,-0.0008035376376435297,-1.0836845273931366,70.0,88.0,1573.0
Astacus astacus,random_forest,combined,snapping,1,4,2309347708,ok,5,291,1646,14562,14562,412,reference_set,0.7494835533138327,0.7531651876360497,0.16620598445319468,0.14919489735386637,0.7358308076176783,0.808280924860183,0.6684023403353182,0.629477505971697,0.4042331479529964,0.43775843083187976,0.7375408464267972,0.753789789584525,0.2641691923823217,0.9515311497007105,0.08700161054172774,0.8616504854368932,0.8827084191731905,0.7443589046100838,0.9999999999999999,0.13834951456310685,Astacus astacus,widespread,DUAL,1646,B,0.9882488128144913,0.6666666666666666,1.0,279626.8596730034,3231.4837336274795,-0.007527235762412543,-0.00030412785464787456,0.0005073602312624104,0.0073240033857979725,1.0,0.9605125696192988,0.9978824539356391,0.7068794397198598,0.818,-0.5497526113249038,-1.2269938650306749,-1.4376996805111821,1.718213058419244,-1.4376996805111821,0.01578299357100346,-0.00011827391580172861,-0.6976744186046512,103.0,115.0,1605.0
Astacus astacus,random_forest,combined,snapping,1,5,2127149511,ok,5,291,1646,14562,14562,412,reference_set,0.7588546889054746,0.7750267964965859,0.16503895174565802,0.14467133175453956,0.6999170597015528,0.7949471612335653,0.7181305089913436,0.6623020479197848,0.4180475686928965,0.4572492091533502,0.6036148993715713,0.7178451739533264,0.3000829402984472,0.9463886755393411,0.08376574584859646,0.8155339805825242,0.8907430298035984,0.7062770103861227,0.9999999999999999,0.18446601941747576,Astacus astacus,widespread,DUAL,1646,B,0.9881921554032439,0.6666666666666666,1.0,2243525.7913496876,-263.52463361108676,-0.0007348057658535523,-0.0006435761069715773,0.0008423531897666647,0.0005360286830583538,1.0,0.9592688119608425,0.9977558457214173,0.716,0.81,-0.44893378226711567,0.8116883116883116,0.7326007326007326,4.868913857677903,1.303538175046555,0.0157455998761726,9.600547631037529e-06,-1.1187072715972655,81.0,99.0,1510.0
Astacus astacus,random_forest,combined,snapping,1,6,1820461602,ok,5,291,1646,14562,14562,412,reference_set,0.7640785430988133,0.7813993742140367,0.16309131619979322,0.1422402987381949,0.7162089735499069,0.7939528791529759,0.6770928568617147,0.6060415829089609,0.39330183041162153,0.39999446206193684,0.7387676398883352,0.7492458838509436,0.28379102645009313,0.9464907666315973,0.08504306040634454,0.8155339805825242,0.8907430298035984,0.7062770103861227,0.9878787878787878,0.18446601941747576,Astacus astacus,widespread,DUAL,1646,B,0.9864721841749694,0.6666666666666666,0.8181818181818182,988582.2053778509,10199.140812678728,-0.002242965037588085,0.0012805261614165543,0.0005346848020994222,0.0004277540740720842,1.0,0.9597868063034141,0.9978393753096467,0.712,0.818,0.7586020048767272,-2.903225806451613,-2.0905923344947737,0.3952569169960474,-1.5985790408525755,0.015799021262123857,-0.0006572798739053375,-2.272727272727273,69.0,106.0,1522.0
