rep,dist_m,frac,eff_dose,auc,tss,range_area_pct_change_05,range_area_pct_change_maxsss,suitability_mad,schoener_d
0,0,0,0.0,0.8878097264506871,0.5138603546941127,,,,
0,100,10,0.40540540540540543,0.8833238773163485,0.5406297712583052,1.8900343642611683,1.1811023622047243,0.01843592776594906,0.9428369445129952
0,100,20,0.9395973154362416,0.8774086806286212,0.52194633517737,-6.529209621993128,-5.627705627705628,0.019377178455957732,0.9408922124806783
0,100,50,1.2096774193548387,0.8553112171719863,0.5090867704547701,-23.195876288659793,-31.020408163265305,0.028674867912625194,0.9225023109795708
0,250,10,0.13513513513513514,0.8807137447342904,0.5420592717043989,1.4604810996563573,-1.6064257028112447,0.015271508556107564,0.9540708363307225
0,250,20,0.8053691275167785,0.8744568877065946,0.5124651491966606,-6.443298969072164,-10.14799154334038,0.02030486554688116,0.9372690824678352
0,250,50,2.0161290322580645,0.8498169939697849,0.4988946856998695,-23.02405498281787,-27.77777777777778,0.02939673527324344,0.9211346990770571
0,500,10,0.8108108108108109,0.8800210488632487,0.5187481625955833,2.3195876288659796,-2.208835341365462,0.016625502720605635,0.9499700753782884
0,500,20,1.476510067114094,0.8753891114818961,0.5302978254063471,-7.302405498281788,-6.557377049180328,0.020715558709880927,0.9360890782278249
0,500,50,3.494623655913978,0.8570857964043184,0.5253323021707572,-24.484536082474225,-25.11415525114155,0.029504455484583237,0.9225043944313613
1,0,0,0.0,0.8517527432215661,0.4832583196752416,,,,
1,100,10,0.13513513513513514,0.8393940777475364,0.4394083983591781,-5.921539600296077,-8.46456692913386,0.014620140367478905,0.9571388681576585
1,100,20,0.40268456375838924,0.8509909076452801,0.4997295438644383,-5.625462620281273,-14.86013986013986,0.01686381200220803,0.9510097089956249
1,100,50,1.478494623655914,0.835717881902006,0.4908128301497679,-20.133234641006663,-20.618556701030926,0.029852377572746627,0.9207770045243531
1,250,10,0.6756756756756757,0.835136197852448,0.4337810144771605,-4.737231680236861,-5.039370078740157,0.016656099676681652,0.9500369707667131
