rep,dist_m,frac,eff_dose,auc,tss,range_area_pct_change_05,range_area_pct_change_maxsss,suitability_mad,schoener_d
0,0,0,0.0,0.8169307742241396,0.5018161829052976,,,,
0,1000,10,1.7333333333333334,0.8070695589959657,0.4913832274444053,-1.5519187358916477,-4.594921402660217,0.01900318436012528,0.9474446354664595
0,1000,20,4.026845637583892,0.8152452561247534,0.4889061488901609,-3.4142212189616252,-8.68377935554342,0.021808424071547847,0.9357250422467611
0,1000,50,10.695187165775401,0.811301304431442,0.49573487129590366,-20.457110609480814,-36.82830930537352,0.0439940329375385,0.8523558790472783
0,2000,10,2.8000000000000003,0.8106586093397286,0.4976078323758083,-2.3137697516930023,-5.392450569203116,0.019025876003898858,0.9459960964407634
0,2000,20,6.845637583892618,0.8159366593426942,0.5073426639966995,-2.765237020316027,-8.803986710963455,0.022040019892546874,0.9367904501391175
0,2000,50,17.780748663101605,0.8096941095741981,0.5037926587252246,-19.554176072234764,-40.33552151714077,0.04433824509718858,0.8530526428909799
1,0,0,0.0,0.8315126962064966,0.516671579305239,,,,
1,1000,10,2.1333333333333333,0.820681094397346,0.5308637536065347,-2.2536839063854375,-2.4179620034542317,0.021041538844870353,0.939143039499968
1,1000,20,4.1610738255033555,0.8242754478562775,0.5346952056470334,-3.322739092747761,-13.559322033898304,0.02329390068834594,0.9316422811136243
1,1000,50,11.631016042780749,0.7976331229841894,0.49539107197768845,-14.851199075411731,-34.84320557491289,0.038809619802225435,0.872796268752313
1,2000,10,4.0,0.8155923053709927,0.5239471002465667,1.3290956370991043,-1.437125748502994,0.021674121246058317,0.9416016321494003
1,2000,20,7.114093959731544,0.8214633325170128,0.5294860142052933,-4.680728113262063,-12.54681647940075,0.023518025179513152,0.9292430918604658
1,2000,50,16.176470588235293,0.8041755121175986,0.5082106573184904,-14.128864490031784,-33.67071524966262,0.037661823834901895,0.8760290650370202
2,0,0,0.0,0.8139396542886591,0.5053715009576107,,,,
2,1000,10,2.1333333333333333,0.8239223667925774,0.5137723301568359,-3.4064665127020786,-8.609271523178808,0.021639866294367854,0.9362636036981367
2,1000,20,3.624161073825503,0.8117419079263919,0.5103723044496802,-7.015011547344111,-14.6356783919598,0.024708180075373398,0.9241823819293312
2,1000,50,11.096256684491978,0.8182909623398517,0.5237253065712218,-20.727482678983833,-39.39393939393939,0.040679578679299805,0.8614413562046461
2,2000,10,5.066666666666667,0.8281793175825042,0.5439102168429929,-4.532332563510392,-9.27703134996801,0.02154216220877362,0.9346228651265333
2,2000,20,7.785234899328859,0.8022027465519599,0.5035812492942042,-7.650115473441109,-15.022421524663676,0.02470546767303817,0.9237152092514429
2,2000,50,16.711229946524064,0.8214319330567553,0.5405480133839754,-21.478060046189377,-40.373134328358205,0.04199132962417805,0.8572343851003523
3,0,0,0.0,0.8229114637191506,0.5293844487891012,,,,
3,1000,10,2.8000000000000003,0.8245056013886074,0.5086621532251195,-0.4804804804804805,-1.4260249554367201,0.020636013479834202,0.9408336217076501
3,1000,20,4.026845637583892,0.8286851343475575,0.5396998120240403,-7.4174174174174174,-10.580645161290322,0.026025625905821612,0.9146464463019078
3,1000,50,11.497326203208557,0.8196226929019582,0.5260639205449021,-19.36936936936937,-35.62197092084006,0.04221750402930214,0.854315814990321
3,2000,10,2.4,0.8231082396440527,0.521437719990804,-0.7507507507507507,-4.577464788732395,0.020985905323120505,0.9407302207108206
3,2000,20,7.38255033557047,0.8327557981170484,0.5525546924835509,-7.177177177177177,-10.997150997150996,0.02691853412082759,0.9126744743712808
3,2000,50,19.919786096256683,0.806230954276924,0.4893202275363338,-18.31831831831832,-32.49348392701998,0.041760102479055206,0.8543746331181664
4,0,0,0.0,0.8302994320411446,0.52601409950091,,,,
4,1000,10,3.2,0.8309003846978917,0.5470387073433826,-2.9183483390251475,-1.2755102040816326,0.0206334954837996,0.9369585651612189
4,1000,20,4.832214765100671,0.824498253533718,0.5200975845230018,-4.315429990686122,-4.030710172744722,0.024638552244371333,0.9207886104603328
4,1000,50,12.299465240641712,0.8069693365828283,0.5098283832601586,-17.19962744489289,-33.385214007782096,0.0376165280049996,0.8681888645798675
