rep,level,mode,d_str1,n,auc,tss,range_area_pct_change_05,range_area_pct_change_maxsss,suitability_mad,schoener_d
0,3,plain,1.078877966914412,4171,0.8829379504722943,0.6132930150197241,6.988058381247236,1.1513714866237725,0.03566646179671125,0.868923663688145
0,3,stratified,0.0,4171,0.883274718041144,0.6139881818908568,3.847854931446263,-0.4751461988304093,0.03367401403285636,0.877646752272592
0,10,plain,3.6921601534404225,4171,0.8587024589639454,0.5639300964269562,21.627598407784166,8.556326395771391,0.059947858026175777,0.7808085709034007
0,10,stratified,0.0,4171,0.8659570706960277,0.5771806479738042,12.428129146395401,3.829646748101684,0.05027275219929771,0.8141463829516393
0,20,plain,7.26444497722369,4171,0.8306202281681099,0.50939086515905,37.350729765590444,19.617064158548875,0.0840203012556876,0.7069399293883143
0,20,stratified,0.0,4171,0.8490478011568894,0.5274744522402818,18.509509066784606,4.952912452040461,0.06204730776134844,0.7743687912522621
1,3,plain,1.0549029009829773,4171,0.8787070794842461,0.614841980516303,7.628101089728727,-0.14571948998178508,0.0352697499806021,0.8672617173209105
1,3,stratified,0.0,4171,0.8829135422586976,0.6179145440274147,4.822629260375608,3.6283485927433032,0.03237670659574017,0.8804585253919304
1,10,plain,3.4284344281946773,4171,0.8525555595560442,0.5540165708409569,20.38024576860654,10.641728474685586,0.06016833573596763,0.7758720812746323
1,10,stratified,0.0,4171,0.8625890282425807,0.5721150723638547,12.265244609320657,5.369357045143639,0.04940148901854973,0.8139793036783661
1,20,plain,7.672021098058018,4171,0.824565936085055,0.48843308496940246,37.32900533271505,22.177858439201454,0.08054439310695734,0.7123527351023486
1,20,stratified,0.0,4171,0.8440560510612773,0.5441470087828073,16.80964525852075,3.3736707004033737,0.060416977092825216,0.7743301670362058
2,3,plain,1.078877966914412,4171,0.877660278604453,0.598629860879621,4.6757829730921925,-1.633208574345015,0.03287249028435709,0.8791559057512948
2,3,stratified,0.0,4171,0.8792604534561742,0.6008065059743611,4.565505072783414,-1.4079895219384413,0.031724240787023364,0.8841739266313756
2,10,plain,4.4593622632462235,4171,0.8418545997030306,0.5079113653467302,20.71018967798853,6.895414054767403,0.0585475847410071,0.7832642035562571
2,10,stratified,0.0,4171,0.853255890240431,0.5297033622929052,12.461402734891927,3.233256351039261,0.04937301885615967,0.8164751206751171
2,20,plain,7.504195636538004,4171,0.8266456633008826,0.4796625036994503,37.09748566387296,21.12676056338028,0.08252468856393852,0.7096585382160339
2,20,stratified,0.0,4171,0.8507716611916171,0.5427841312655626,12.792236435818264,0.1273074474856779,0.06439203236122941,0.7630673048286235
3,3,plain,1.1268280987772705,4171,0.8854723733088077,0.613418908388059,5.365344467640918,1.2759170653907497,0.0344875165964539,0.8777542317964673
3,3,stratified,0.0,4171,0.8840382504324729,0.6226301819070763,3.02713987473904,-0.2099370188943317,0.032426155010440376,0.886021149824862
3,10,plain,3.8839606808918745,4171,0.8491492620355924,0.5328200264283536,17.57828810020877,6.324732536186281,0.060754629092128226,0.7830670854206433
3,10,stratified,0.0,4171,0.8624503318076369,0.567048397528278,7.661795407098121,-1.3647219379051518,0.05124637532607973,0.8165819986725246
3,20,plain,7.312395109086552,4171,0.81816197142419,0.47533459223416147,33.987473903966595,17.046215673141326,0.0827062742596571,0.7181493645962203
3,20,stratified,0.0,4171,0.846403875278506,0.5335391531506225,9.060542797494781,0.14212620807276863,0.06180671747069657,0.7802329491238351
4,3,plain,0.8631023735315289,4171,0.8806490846974366,0.6235999676884701,1.1902088479676622,-4.661759551349457,0.036953207210071407,0.8630833147121755
4,3,stratified,0.0,4171,0.8860479819275402,0.6332001758452525,3.278688524590164,1.2636012636012635,0.032806541289836844,0.8796144107933436
4,10,plain,4.051786142411888,4171,0.8561113161976068,0.5481517654976119,20.75005614192679,5.940922668436774,0.05927099341740992,0.7806978004099588
4,10,stratified,0.0,4171,0.8622556988525599,0.5685349538226736,11.048731192454525,5.034324942791762,0.04974000240286447,0.8145974285143337
4,20,plain,7.695996163989449,4171,0.825031639021066,0.5111191360956555,37.72737480350325,20.447284345047922,0.08338861788614636,0.7065796010019338
4,20,stratified,0.0,4171,0.8529348667105173,0.5493613139889093,13.271951493375253,3.0020013342228156,0.06297517458586793,0.7682354092179556
5,3,plain,0.935027571325822,4171,0.8848407204632062,0.6289996927941717,4.164800716524854,-1.2408526885141584,0.033398509765666794,0.8765459562986876
5,3,stratified,0.0,4171,0.8843932675793539,0.6286445432792933,5.4411106135244065,1.6381507098653074,0.03209217129662075,0.8822791524150071
5,10,plain,4.219611603931913,4171,0.8539254937381429,0.563960861445077,21.003134796238246,5.839917554105119,0.0601070565685238,0.7793496546431038
5,10,stratified,0.0,4171,0.8720035206670964,0.5962742944858918,12.51679355127631,0.5296610169491525,0.049913947050987735,0.81467108328226
5,20,plain,7.600095900263728,4171,0.8211367166706075,0.503715697034951,34.930586654724586,19.282658769332016,0.08277701651146449,0.7060342941218618
5,20,stratified,0.0,4171,0.8542231270095776,0.5720459628867798,16.278549037169725,5.545286506469501,0.0659637418265988,0.7593447381206412
6,3,plain,1.4385039558858779,4171,0.8804445193918524,0.6039184625490395,6.19489034591906,2.2635658914728682,0.03568243085227662,0.8670175118854482
6,3,stratified,0.0,4171,0.8854194525801524,0.619152720666985,5.403572236038888,0.8499509643674402,0.03287761875536445,0.8782379318460998
6,10,plain,4.171661472069051,4171,0.8421454751998549,0.5070272153826647,24.056070540357226,13.612217795484726,0.05917788700710788,0.7811626305802014
6,10,stratified,0.0,4171,0.8669041811897207,0.5719695132271176,14.017635089305902,6.9421487603305785,0.051356525621066525,0.8085324292304527
6,20,plain,6.952769120115082,4171,0.814942339131845,0.4561306699542589,35.69975130002261,21.664994984954863,0.0827687526038681,0.7032701570644382
6,20,stratified,0.0,4171,0.8497949458907599,0.5327789103214614,16.527243952068734,6.364545151616128,0.061923757317151544,0.7706944880319855
7,3,plain,1.1987532965715637,4171,0.8762545647692501,0.6099105349443694,4.979157017137563,2.074235807860262,0.03494355451351719,0.8705241759031314
7,3,stratified,0.0,4171,0.8855012963996586,0.6278822332563769,1.2505789717461788,2.1072088724584104,0.03140834754387197,0.8852008894203399
7,10,plain,3.4763845600575394,4171,0.8597549828949124,0.5652082714155405,20.310328855951827,9.736747205192932,0.059159822512328174,0.7821007405678833
7,10,stratified,0.0,4171,0.8571312436786725,0.5658351990234396,14.080592867068088,7.736877982276755,0.04996930878764429,0.8142273983245831
7,20,plain,7.576120834332297,4171,0.8189195954408327,0.49618034001120653,39.18480778138027,22.489336952307095,0.08458288843544928,0.7019333883900396
7,20,stratified,0.0,4171,0.8395892173636589,0.5323802399441911,19.708198239925892,9.961685823754788,0.06347402464904249,0.7668895268711236
8,3,plain,1.0069527691201152,4171,0.8734646302652209,0.6031780265242882,4.813450023030861,2.0314547837483614,0.034927505085288295,0.8697545685876723
8,3,stratified,0.0,4171,0.8780861165054299,0.6096372893228474,3.22432058959005,1.466275659824047,0.03257258942514371,0.8794515995075342
8,10,plain,4.2915368017262026,4171,0.8573678694703987,0.5619627189564571,20.405343159834178,13.366174055829227,0.058153333587705434,0.7835200643479678
8,10,stratified,0.0,4171,0.8647800862274717,0.5747103862044459,12.34454168585905,7.536557930258718,0.04982592417745647,0.8129948827090272
8,20,plain,8.007672021098056,4171,0.821726700401694,0.4965087229481412,33.78627360663289,25.371586588316624,0.08144481720004809,0.7096523513999337
