rep,level,mode,d_str1,n,auc,tss,range_area_pct_change_05,range_area_pct_change_maxsss,suitability_mad,schoener_d
0,3,plain,0.37608611075087595,7711,0.9142482166938983,0.6814659895088573,3.870967741935484,4.235537190082645,0.016646964191578524,0.9502620840452196
0,3,stratified,0.0,7711,0.915021610711147,0.6869415449311239,2.620967741935484,0.7515971439308531,0.01574618436928711,0.9530222807337804
0,10,plain,1.3227856309168757,7711,0.907326643561523,0.6712875355082001,8.790322580645162,9.262557890986818,0.023259947540782273,0.9298660978961791
0,10,stratified,0.0,7711,0.9066997985299675,0.6657594733079236,8.024193548387098,10.282685512367491,0.022950265302154788,0.9304342994072073
0,20,plain,2.1916742316171707,7711,0.8979057059038172,0.6454618008480383,13.77016129032258,21.024734982332156,0.0321181441668669,0.9030349714384687
0,20,stratified,0.0,7711,0.8970132108643283,0.6486393983451778,13.709677419354838,19.18762088974855,0.03131798365399584,0.9053505615273055
1,3,plain,0.025936973155239684,7711,0.9094752197724525,0.6733850301473338,2.357171394326808,1.4401123990165086,0.016212110874004093,0.95176571007312
1,3,stratified,0.0,7711,0.9101072991490445,0.6740694941305725,2.317219336795845,4.294917680744453,0.016075165868033668,0.9522617285219955
1,10,plain,0.9207625470107672,7711,0.9002865815778734,0.657940145730839,11.546144626448262,16.49285438393202,0.023114034183830318,0.9310672483331844
1,10,stratified,0.0,7711,0.9033677419339622,0.6595095731559412,7.690771074710348,13.455913079816131,0.02198119640296904,0.9345505644227795
1,20,plain,1.8544935805991472,7711,0.8948035693704438,0.6488437492966888,13.823411905713145,25.3042233357194,0.03248502661556923,0.9026490367317019
1,20,stratified,0.0,7711,0.8940984951999051,0.6513926243188941,13.403915301638033,22.629073599414134,0.03125392389094919,0.9061053899130469
2,3,plain,0.1945272986642479,7711,0.9127743313241723,0.6796368975482228,2.9605921184236847,3.4416826003824093,0.016228564210126147,0.9516376118356521
2,3,stratified,0.0,7711,0.9134464197128929,0.6747038558507059,3.280656131226245,4.986470815616544,0.01646039750448974,0.9509600886788679
2,10,plain,1.0763843859421627,7711,0.9069362692556804,0.6628949827291337,6.021204240848169,13.282387190684133,0.02315000057400766,0.930393592462545
2,10,stratified,0.0,7711,0.9073087222478465,0.6737990467866409,10.182036407281455,11.673753382296095,0.023501416821312404,0.9293246494615061
2,20,plain,1.685903255090139,7711,0.8993375315868742,0.6566539997136734,14.562912582516505,24.19028340080972,0.03172757034277017,0.904599364295261
2,20,stratified,0.0,7711,0.8966496488080631,0.6541591338725734,13.062612522504502,19.436840046929994,0.03189135084212156,0.9038424925446602
3,3,plain,-0.07781091946569774,7711,0.9115039741044589,0.6790613380596652,2.0157226365652083,2.7946537059538272,0.015611715668235649,0.9533374493290707
3,3,stratified,0.0,7711,0.9119604618251008,0.6789167939204032,3.366256803063898,4.160475482912332,0.01619297357522853,0.951581496689751
3,10,plain,0.4538970302165737,7711,0.9038605710630262,0.6632197611772607,8.123362225357791,12.394797245600612,0.021847029431136585,0.9340178773112581
3,10,stratified,0.0,7711,0.9074667906114234,0.6716660817997417,5.906067325136061,10.552959501557632,0.022887297788985274,0.9308868198154818
3,20,plain,1.05044741278693,7711,0.8966961409262125,0.6559869088079976,13.404555533158637,24.265687583444592,0.0322849435414138,0.9029621334126439
3,20,stratified,0.0,7711,0.8952250928298471,0.6459923926091983,13.162668816770811,21.085214857975238,0.031645312061506364,0.9038716827763443
4,3,plain,0.4668655167941935,7711,0.9127518227366364,0.6798931191424715,3.3822091886608017,4.275862068965517,0.016237872727912505,0.9519095191003079
4,3,stratified,0.0,7711,0.9097100203859579,0.6749464782574224,3.167155425219941,4.703770197486535,0.016392754423887497,0.9512687213813239
4,10,plain,0.7910776812346043,7711,0.9047647917182079,0.664647586747801,9.67741935483871,12.987012987012985,0.023265236867399834,0.9307235658824248
