rep,dist_m,frac,eff_dose,auc,tss,range_area_pct_change_05,range_area_pct_change_maxsss,suitability_mad,schoener_d
0,0,0,0.0,0.9184001618476902,0.6889587088520559,,,,
0,1000,10,3.216601815823606,0.9181743089537896,0.6898845595765217,-3.7911983234901885,-4.179753563662721,0.02430818199685452,0.9157671220639869
0,1000,20,6.368352788586251,0.9212448516839599,0.693050301550831,-5.486759382739569,-6.522882693319305,0.02679275584841636,0.9040022093887643
0,1000,50,16.90871369294606,0.9230535674846646,0.6834473488304692,-19.413221566012574,-19.962686567164177,0.03601626214861784,0.8684904032431551
0,2000,10,4.785992217898833,0.9177461875271133,0.689788053401478,-4.286530767765289,-3.1511100501312965,0.024232908179758997,0.9161710733530477
0,2000,20,9.636835278858625,0.9206818516525512,0.6917950253721771,-6.153553057725281,-6.9702860316578725,0.02788634374394381,0.9000817623235736
0,2000,50,24.533195020746888,0.9280775812968012,0.690126469244418,-24.17603353019623,-24.6112600536193,0.038723663658914914,0.8601006115386864
1,0,0,0.0,0.9181082309181127,0.6895299651099278,,,,
1,1000,10,3.4370946822308692,0.9187365397090083,0.6872353467809791,-4.426787741203178,-3.6307546274323683,0.02443133730109097,0.9157687278447852
1,1000,20,6.835278858625163,0.9170376142138126,0.6860868664320731,-8.967082860385926,-9.808429118773947,0.02702844928018633,0.9056927764811984
1,1000,50,16.59751037344398,0.9190338899478233,0.685564035915915,-21.660991297767687,-22.00956937799043,0.03637851577932504,0.8685323463236612
1,2000,10,5.265888456549935,0.9188871976640677,0.6867277840689223,-2.9701097237987137,-2.4857071836937608,0.024994846913557932,0.913573738677029
1,2000,20,9.87029831387808,0.9192982127878777,0.685844753126907,-8.796821793416571,-9.501187648456057,0.027102726910654733,0.9055704776382599
1,2000,50,25.466804979253112,0.9237869305849227,0.693490720832294,-24.25274309496784,-24.9185667752443,0.03826025248005926,0.8646255018973736
2,0,0,0.0,0.9193763307619015,0.6890791534657301,,,,
2,1000,10,3.307392996108949,0.9192364839104145,0.6859517268645854,-2.588011417697431,-2.460238568588469,0.023713675011127228,0.9177734401251415
2,1000,20,6.62775616083009,0.92061516521221,0.695201025543222,-8.525214081826832,-9.625403125775241,0.026843607135144627,0.9021724168332435
2,1000,50,16.817946058091287,0.9201945602173316,0.6886309182191185,-20.932445290199812,-23.09344790547798,0.036298933620727995,0.866298713069328
2,2000,10,5.019455252918288,0.9212922105336103,0.6909399975391332,-2.340627973358706,-2.862294343024566,0.023986468715133463,0.9165256605592043
2,2000,20,10.181582360570687,0.9216472185447716,0.6992974762656412,-8.924833491912466,-10.67117334620956,0.027115318167905075,0.9016288224790888
2,2000,50,25.025933609958507,0.9261066523714175,0.6943209712342203,-22.854424357754517,-24.075852136341815,0.03734140236490537,0.864705483671388
