rep,level,mode,d_str1,n,auc,tss,range_area_pct_change_05,range_area_pct_change_maxsss,suitability_mad,schoener_d
0,3,plain,1.1627906976744207,1032,0.8333177041070501,0.45826930025438484,14.75548060708263,6.043956043956044,0.025083980113271724,0.9322651358499943
0,3,stratified,0.0,1032,0.839184997420992,0.4825566655354496,9.780775716694773,3.6918138041733553,0.024324797843665768,0.9326892034544769
0,10,plain,3.488372093023262,1032,0.8365792152804976,0.42504939485834226,30.522765598650924,17.94871794871795,0.05198114023124973,0.8641932021887473
0,10,stratified,0.0,1032,0.831834901969959,0.4626530796450016,35.24451939291737,23.92156862745098,0.04524331553769308,0.8841820866487407
0,20,plain,7.073643410852714,1032,0.8022933487785305,0.3663495963181886,54.63743676222597,40.92526690391459,0.08156570327602167,0.802015669431687
0,20,stratified,0.0,1032,0.8115559732214334,0.37073585190336583,48.90387858347386,33.76146788990826,0.06913127306347067,0.8336359278310398
1,3,plain,0.7751937984496138,1032,0.8151830660555063,0.43365646473780906,10.26137463697967,4.770017035775128,0.024829916931395198,0.9293143677687199
1,3,stratified,0.0,1032,0.8195227697310286,0.4360755333738266,9.486931268151016,2.831858407079646,0.02369031574894109,0.9331574716260872
1,10,plain,2.90697674418605,1032,0.8000353366967375,0.3609204896317677,31.268151016456926,10.45045045045045,0.045712529949086554,0.8790862437719723
1,10,stratified,0.0,1032,0.8051549084503876,0.3875549007126333,30.009680542110356,16.036036036036037,0.04241708602072905,0.882939102538391
1,20,plain,7.655038759689923,1032,0.7544579357043212,0.30966727370257546,59.728944820909966,18.32460732984293,0.08420663211825612,0.7997751583551787
1,20,stratified,0.0,1032,0.8034837880923699,0.3743560225261509,57.21200387221684,30.349344978165938,0.05673942850725196,0.8549093054668262
2,3,plain,0.29069767441860606,1032,0.8258404240031021,0.46008549690866735,8.202443280977311,7.169811320754717,0.023046978484790148,0.9371644541816073
2,3,stratified,0.0,1032,0.8410676632484344,0.46988222703739496,8.638743455497382,2.3404255319148937,0.023724436850211784,0.9343995486284442
2,10,plain,3.585271317829463,1032,0.8131614314129779,0.4189069570527943,30.80279232111693,22.86245353159851,0.05158186689770248,0.8681640400354645
2,10,stratified,0.0,1032,0.8343274718179481,0.45567713523586445,19.80802792321117,17.208413001912046,0.04124919514260821,0.8902507821500467
2,20,plain,6.104651162790702,1032,0.807584211048585,0.36029579511456433,55.32286212914486,33.39960238568588,0.07649043962317632,0.8134355225239996
2,20,stratified,0.0,1032,0.8056517869022265,0.372709541815079,49.825479930191975,29.290617848970253,0.0637452151046954,0.8443701628331937
3,3,plain,0.678294573643413,1032,0.8195836638497922,0.41597171143483486,10.20776874435411,5.545927209705372,0.026527601158387884,0.9271948070835386
3,3,stratified,0.0,1032,0.8394181633909993,0.4506351040175883,7.8590785907859075,2.891156462585034,0.022011741913746632,0.9389375721061012
3,10,plain,3.6821705426356637,1032,0.8282604438932892,0.42071454069997655,26.82926829268293,17.307692307692307,0.0521458128770376,0.8629117028492492
3,10,stratified,0.0,1032,0.8308458487008,0.4077505716929786,23.757904245709124,16.69724770642202,0.04165317700979763,0.8895524322197703
3,20,plain,7.073643410852714,1032,0.8143468872841098,0.3707625022370757,47.87714543812105,26.12312811980033,0.07871040432968499,0.807189448922451
3,20,stratified,0.0,1032,0.8085485400354017,0.3575189879033444,39.295392953929536,26.42740619902121,0.062456873315363884,0.839238206856818
4,3,plain,1.4534883720930232,1032,0.826657106289849,0.4472373786009118,9.680365296803654,8.084358523725834,0.025989990052624822,0.9281430994212085
4,3,stratified,0.0,1032,0.8262357232639018,0.4585483406680806,12.054794520547945,3.7037037037037033,0.02349140955910666,0.9355899631869351
4,10,plain,3.875968992248062,1032,0.8053421959564759,0.4050548144982768,36.89497716894977,23.022847100175746,0.051565133179844264,0.8693805655264084
4,10,stratified,0.0,1032,0.8272163768081258,0.41145537864024445,31.05022831050228,22.22222222222222,0.04754153971730202,0.8772671877730147
4,20,plain,7.655038759689923,1032,0.7875094870012451,0.32401900085743884,65.75342465753424,30.2713987473904,0.08465491711371513,0.802464600348319
4,20,stratified,0.0,1032,0.8100085019042398,0.36650424931998427,48.76712328767123,27.292576419213976,0.0651547841660249,0.837854169672356
