entity_id,algorithm,axis,level,n_reps_ok,auc_mean,auc_lo,auc_hi
Austropotamobius_fulcisianus_pooled,maxent,lowacc,0,50,0.7868182045160604,0.7765779980698442,0.7955484940948804
Austropotamobius_fulcisianus_pooled,maxent,lowacc,5,50,0.7678892029245492,0.7577864538129953,0.777564085785295
Austropotamobius_fulcisianus_pooled,maxent,lowacc,10,50,0.7395499497850117,0.7290806375949337,0.74960840006457
Austropotamobius_fulcisianus_pooled,maxent,lowacc,20,30,0.7178243815801496,0.706240105695764,0.7300392068700725
Austropotamobius_fulcisianus_pooled,maxent,lowacc,35,30,0.7084351865916981,0.6939741689985925,0.7234864948542796
Austropotamobius_fulcisianus_pooled,maxent,lowacc,50,30,0.7066593211112822,0.6912434799779793,0.7218690875059338
Austropotamobius_fulcisianus_pooled,maxent,snapping,0,50,0.7863937769094471,0.7780916543018337,0.7948942222069756
Austropotamobius_fulcisianus_pooled,maxent,snapping,5,50,0.7826293847054819,0.7730127936298203,0.7927384680927222
Austropotamobius_fulcisianus_pooled,maxent,snapping,10,50,0.7859782538004277,0.7752147051358655,0.7964003739828599
Austropotamobius_fulcisianus_pooled,maxent,snapping,20,30,0.7787208588021062,0.7647008382002177,0.7910484749951953
Austropotamobius_fulcisianus_pooled,maxent,snapping,35,30,0.7918957113917736,0.7804839311524452,0.8028430343039752
Austropotamobius_fulcisianus_pooled,maxent,snapping,50,30,0.7901049052886862,0.7771499964005751,0.8016492031353077
Austropotamobius_fulcisianus_pooled,random_forest,lowacc,0,50,0.8391756854207147,0.8267259675868799,0.8514259217107679
Austropotamobius_fulcisianus_pooled,random_forest,lowacc,5,50,0.816510245244295,0.8006070143689265,0.8314472825247476
Austropotamobius_fulcisianus_pooled,random_forest,lowacc,10,50,0.8001205694904493,0.78525405394145,0.8150632591852954
Austropotamobius_fulcisianus_pooled,random_forest,lowacc,20,30,0.7804471157311786,0.7652115773262866,0.7948921603282407
