algorithm,track,axis,level,n_reps_ok,auc_mean,auc_lo,auc_hi,tss_mean,tss_lo,tss_hi,brier_mean,brier_lo,brier_hi,sensitivity_mean,sensitivity_lo,sensitivity_hi,specificity_mean,specificity_lo,specificity_hi
xgboost,combined,lowacc,5,50,0.7448573884640132,0.7327281859364709,0.7572046509910847,0.35497069798550096,0.33259425220322614,0.37612691082049254,0.17740607594219693,0.17184785084528964,0.1830568761605218,0.7716465336018343,0.7565525344740393,0.7858771734204535,0.5833241643836665,0.560219876258409,0.6087370871174
xgboost,combined,lowacc,10,50,0.7388609851422249,0.7254274903232865,0.7517585990842709,0.31385438638440205,0.2900184720637663,0.3370580707216865,0.18682502579731827,0.18145462298058965,0.19248678717174741,0.7491948833024885,0.7372031340082174,0.761594363079708,0.5646595030819135,0.5398131947335298,0.5884557195693164
xgboost,combined,lowacc,20,30,0.7099788872080014,0.69194342059425,0.7273274821568398,0.26666283656124373,0.23454926808498047,0.2977488225259132,0.20798895815496288,0.20081609524042685,0.2154704123027245,0.7262641728568363,0.7122335381635208,0.7398167231096823,0.5403986637044077,0.5074993424377074,0.5722684940346765
xgboost,combined,lowacc,35,30,0.6723665153792598,0.6607389138117213,0.6851990515615289,0.20279799116715236,0.18181328142222009,0.22403251870992036,0.23393532414839044,0.22728215951771727,0.2406726096206097,0.7076036408370955,0.6928662183246618,0.7219062132971843,0.49519435033005693,0.47406352712756344,0.514423857006727
xgboost,combined,lowacc,50,30,0.6627662124473124,0.6469410031174765,0.6761633351763193,0.22119667955989047,0.19504775580829953,0.24559979944743185,0.24896905230718858,0.2423614052911664,0.25548331965961785,0.7047678432495557,0.6905297452273587,0.7200672581362393,0.5164288363103348,0.4882678779768629,0.5421601946984184
xgboost,combined,snapping,0,50,0.757401705878671,0.7431639833635552,0.7711542714843596,0.34530326600242495,0.3203099531453949,0.37043415722417206,0.1671130573596585,0.16128221901384746,0.17375621853206605,0.7819558704999104,0.769491519927245,0.7940688433177736,0.5633473955025144,0.5403950102776696,0.5868572283399599
xgboost,combined,snapping,5,50,0.7515003418800117,0.7318725806948496,0.7690756154074305,0.33193379611692636,0.30622907657048487,0.35863723298579026,0.16237557158533023,0.1571075681721573,0.16793664219449297,0.7788140932751966,0.7673168625663943,0.7907994790609374,0.5531197028417297,0.5237420464847176,0.5816990647946659
xgboost,combined,snapping,10,50,0.7585181674152979,0.7418286360382066,0.774267309470299,0.3525054019080363,0.3261563430834802,0.3776918582968333,0.1568085648599525,0.15184497959115306,0.16205916963631053,0.7906714654836167,0.7768374973069239,0.8042420808158167,0.5618339364244198,0.5307551919332073,0.5928385742378041
xgboost,combined,snapping,20,30,0.7645738872271637,0.7462584802357143,0.7818715818595847,0.34620917674580914,0.31210521745581854,0.38139870184704705,0.16796225384177177,0.16108849971801448,0.17554869254829514,0.7667717751810786,0.7483055400030447,0.7862165041369701,0.5794374015647307,0.5440321296523049,0.6141803509741802
xgboost,combined,snapping,35,30,0.7613181845720082,0.7376448414654563,0.7838233351767423,0.3539528758022386,0.31716558061583067,0.38922387582479095,0.15073565919951462,0.14421794383443706,0.15713645675201823,0.7682968146554375,0.7526784011202459,0.7831633886170742,0.585656061146801,0.5473969423496874,0.6225658062118968
xgboost,combined,snapping,50,30,0.785334546977948,0.7720059925970127,0.797583767347901,0.3606557412997514,0.32816476883678886,0.3941352046644681,0.1500122530434804,0.14571151064042487,0.15460732181082187,0.753122292547601,0.7418367956661907,0.7657139814774432,0.6075334487521507,0.5716593559947684,0.6455853439604496
xgboost,local_only,lowacc,0,50,0.7700616022170117,0.7519988101159336,0.7865337062582947,0.38104974384287155,0.35801764984800954,0.4062813083619005,0.16113211244836326,0.15542852502876978,0.16695070197463494,0.8005682574721766,0.7867034442095868,0.8147318789300777,0.5804814863706949,0.5499257449564153,0.6079403163260481
xgboost,local_only,lowacc,5,50,0.7419794197577854,0.7284501153474925,0.7554981718860088,0.34572861221012674,0.32226140641030127,0.36940891896258576,0.17697864770671576,0.1712391120595981,0.18259984445593844,0.7745578020011168,0.7601200022201414,0.7882984795353485,0.57117081020901,0.546155878948472,0.5967314350640585
xgboost,local_only,lowacc,10,50,0.7372466581117741,0.7220207999630163,0.7512274986629767,0.3222185689581151,0.2976614802614071,0.3468197962506921,0.18710776584255412,0.1817766435963038,0.19219850728951432,0.7570397967949863,0.7450039902464811,0.7687309767192679,0.5651787721631288,0.5396968916356145,0.5891996321638203
