entity_id,algorithm,axis,level,n_reps_ok,auc_mean,auc_lo,auc_hi
Austropotamobius_fulcisianus_pooled,maxent,lowacc,0,50,0.7868182045160604,0.77766226153451,0.7954885366274912
Austropotamobius_fulcisianus_pooled,maxent,lowacc,5,50,0.7678892029245492,0.7579247352535528,0.7776249265966304
Austropotamobius_fulcisianus_pooled,maxent,lowacc,10,50,0.7395499497850117,0.7298871564633711,0.7492572033920876
Austropotamobius_fulcisianus_pooled,maxent,lowacc,20,30,0.7178243815801496,0.7058671608378224,0.729991905901293
Austropotamobius_fulcisianus_pooled,maxent,lowacc,35,30,0.7084351865916981,0.6938555926172396,0.7234374474719639
Austropotamobius_fulcisianus_pooled,maxent,lowacc,50,30,0.7066593211112822,0.6907256579156724,0.721284004175693
Austropotamobius_fulcisianus_pooled,maxent,snapping,0,50,0.7863937769094471,0.777571566136397,0.795033180421695
Austropotamobius_fulcisianus_pooled,maxent,snapping,5,50,0.7826293847054819,0.7727541985696583,0.7925796438444648
Austropotamobius_fulcisianus_pooled,maxent,snapping,10,50,0.7859782538004277,0.7751492485535625,0.7958818086228016
Austropotamobius_fulcisianus_pooled,maxent,snapping,20,30,0.7787208588021062,0.7648226080142763,0.7915772244835431
Austropotamobius_fulcisianus_pooled,maxent,snapping,35,30,0.7918957113917736,0.7803280607926771,0.8032240956344864
Austropotamobius_fulcisianus_pooled,maxent,snapping,50,30,0.7901049052886862,0.777868624890336,0.8019875657332843
Austropotamobius_fulcisianus_pooled,random_forest,lowacc,0,50,0.8391756854207147,0.8262315973429928,0.8509443550585328
Austropotamobius_fulcisianus_pooled,random_forest,lowacc,5,50,0.816510245244295,0.8012125391409969,0.8318725477225742
Austropotamobius_fulcisianus_pooled,random_forest,lowacc,10,50,0.8001205694904493,0.7845665464420197,0.814531057850154
Austropotamobius_fulcisianus_pooled,random_forest,lowacc,20,30,0.7804471157311786,0.7655843413268093,0.7955554221344291
Austropotamobius_fulcisianus_pooled,random_forest,lowacc,35,30,0.7790042558153423,0.7664633590677139,0.7920256506929064
Austropotamobius_fulcisianus_pooled,random_forest,lowacc,50,30,0.7887971615357615,0.7769497417837485,0.8010701414379274
Austropotamobius_fulcisianus_pooled,random_forest,snapping,0,50,0.8332770648128388,0.819834859560226,0.8448779131620316
Austropotamobius_fulcisianus_pooled,random_forest,snapping,5,50,0.8241356660277215,0.810050313518231,0.8380182660010725
Austropotamobius_fulcisianus_pooled,random_forest,snapping,10,50,0.8291688724113966,0.8166200531236232,0.8406384205288298
Austropotamobius_fulcisianus_pooled,random_forest,snapping,20,30,0.8186548265787984,0.7994604802767368,0.8372114074443305
Austropotamobius_fulcisianus_pooled,random_forest,snapping,35,30,0.8481097491176979,0.8357503556618342,0.8603438476771319
Austropotamobius_fulcisianus_pooled,random_forest,snapping,50,30,0.836056314490057,0.8129807177768946,0.8565106657264058
Austropotamobius_fulcisianus_pooled,xgboost,lowacc,0,50,0.8336235723729867,0.8217684406337067,0.8458326750913379
Austropotamobius_fulcisianus_pooled,xgboost,lowacc,5,50,0.8119005012887599,0.7962909063509238,0.8271134746396785
Austropotamobius_fulcisianus_pooled,xgboost,lowacc,10,50,0.7886785299581647,0.7730728400285493,0.8041672267437528
Austropotamobius_fulcisianus_pooled,xgboost,lowacc,20,30,0.7743085478251255,0.7603024921464189,0.7878161367661087
Austropotamobius_fulcisianus_pooled,xgboost,lowacc,35,30,0.7699920972452075,0.757522723366784,0.7830473917920625
Austropotamobius_fulcisianus_pooled,xgboost,lowacc,50,30,0.7677037009019793,0.7519154472529137,0.7828775997962725
Austropotamobius_fulcisianus_pooled,xgboost,snapping,0,50,0.8265361171236472,0.8124089987350135,0.8391359950422806
Austropotamobius_fulcisianus_pooled,xgboost,snapping,5,50,0.8153499585447384,0.8008891134084413,0.829385383830896
Austropotamobius_fulcisianus_pooled,xgboost,snapping,10,50,0.8209908253041202,0.808244851408155,0.8334000724548043
Austropotamobius_fulcisianus_pooled,xgboost,snapping,20,30,0.8033199346726418,0.782905760189238,0.8228322235321023
Austropotamobius_fulcisianus_pooled,xgboost,snapping,35,30,0.8330219558664063,0.819381993845691,0.8455692449546012
Austropotamobius_fulcisianus_pooled,xgboost,snapping,50,30,0.8278718024536827,0.8082520939079625,0.8481671941628393
