Pacifastacus leniusculus (alien)	Pacifastacus_leniusculus_alien	mx_local_only_low	maxent	local_only		0 3 10 20	10
Pacifastacus leniusculus (alien)	Pacifastacus_leniusculus_alien	mx_upstream_only_snap	maxent	upstream_only	0 1 2 5 10 20		10
Pacifastacus leniusculus (alien)	Pacifastacus_leniusculus_alien	mx_upstream_only_low	maxent	upstream_only		0 3 10 20	10
Pacifastacus leniusculus (alien)	Pacifastacus_leniusculus_alien	mx_combined_snap	maxent	combined	0 1 2 5 10 20		10
Pacifastacus leniusculus (alien)	Pacifastacus_leniusculus_alien	mx_combined_low	maxent	combined		0 3 10 20	10
Faxonius limosus (alien)	Faxonius_limosus_alien	rfxgb	random_forest xgboost	local_only upstream_only combined	0 1 2 5 10 20	0 3 10 20	30
Faxonius limosus (alien)	Faxonius_limosus_alien	mx_local_only_snap	maxent	local_only	0 1 2 5 10 20		10
Faxonius limosus (alien)	Faxonius_limosus_alien	mx_local_only_low	maxent	local_only		0 3 10 20	10
Faxonius limosus (alien)	Faxonius_limosus_alien	mx_upstream_only_snap	maxent	upstream_only	0 1 2 5 10 20		10
Faxonius limosus (alien)	Faxonius_limosus_alien	mx_upstream_only_low	maxent	upstream_only		0 3 10 20	10
Faxonius limosus (alien)	Faxonius_limosus_alien	mx_combined_snap	maxent	combined	0 1 2 5 10 20		10
Faxonius limosus (alien)	Faxonius_limosus_alien	mx_combined_low	maxent	combined		0 3 10 20	10
Lacunicambarus diogenes	Lacunicambarus_diogenes	rfxgb	random_forest xgboost	local_only upstream_only combined	0 1 2 5 10 20		30
Lacunicambarus diogenes	Lacunicambarus_diogenes	mx_local_only_snap	maxent	local_only	0 1 2 5 10 20		10
Lacunicambarus diogenes	Lacunicambarus_diogenes	mx_upstream_only_snap	maxent	upstream_only	0 1 2 5 10 20		10
Lacunicambarus diogenes	Lacunicambarus_diogenes	mx_combined_snap	maxent	combined	0 1 2 5 10 20		10
Cambarus latimanus	Cambarus_latimanus	rfxgb	random_forest xgboost	local_only upstream_only combined	0 1 2 5 10 20		30
Cambarus latimanus	Cambarus_latimanus	mx_local_only_snap	maxent	local_only	0 1 2 5 10 20		10
Cambarus latimanus	Cambarus_latimanus	mx_upstream_only_snap	maxent	upstream_only	0 1 2 5 10 20		10
Cambarus latimanus	Cambarus_latimanus	mx_combined_snap	maxent	combined	0 1 2 5 10 20		10
